No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5213,5043,,104,404,997,2276,3554,4459,4865,178
2,Biology,,Male,Percentage,,,40.3,2.1%,8.0%,19.8%,45.1%,70.5%,88.4%,96.5%,3.5%
3,Biology,,Female,Number,7144,6992,,118,525,1310,3250,5120,6398,6862,130
4,Biology,,Female,Percentage,,,34.2,1.7%,7.5%,18.7%,46.5%,73.2%,91.5%,98.1%,1.9%
5,Biology,,Total,Number,12357,12035,,222,929,2307,5526,8674,10857,11727,308
6,Biology,,Total,Percentage,,,36.8,1.8%,7.7%,19.2%,45.9%,72.1%,90.2%,97.4%,2.6%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3027,2883,,49,186,430,1202,1938,2583,2818,65
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,38.4,1.7%,6.5%,14.9%,41.7%,67.2%,89.6%,97.7%,2.3%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3760,3696,,44,201,518,1686,2693,3438,3638,58
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,28.3,1.2%,5.4%,14.0%,45.6%,72.9%,93.0%,98.4%,1.6%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6787,6579,,93,387,948,2888,4631,6021,6456,123
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,32.7,1.4%,5.9%,14.4%,43.9%,70.4%,91.5%,98.1%,1.9%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1199,1138,,4,24,66,270,601,958,1084,54
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,75.5,0.4%,2.1%,5.8%,23.7%,52.8%,84.2%,95.3%,4.7%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1297,1258,,15,48,110,435,810,1137,1233,25
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,67.3,1.2%,3.8%,8.7%,34.6%,64.4%,90.4%,98.0%,2.0%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2496,2396,,19,72,176,705,1411,2095,2317,79
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,71.2,0.8%,3.0%,7.3%,29.4%,58.9%,87.4%,96.7%,3.3%
19,Chemistry,,Male,Number,6399,6224,,185,687,1607,3148,4672,5406,5933,291
20,Chemistry,,Male,Percentage,,,26.8,3.0%,11.0%,25.8%,50.6%,75.1%,86.9%,95.3%,4.7%
