No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5707,5421,,112,427,1058,2435,3810,4778,5214,207
2,Biology,,Male,Percentage,,,41.5,2.1%,7.9%,19.5%,44.9%,70.3%,88.1%,96.2%,3.8%
3,Biology,,Female,Number,7670,7403,,120,544,1364,3384,5349,6727,7250,153
4,Biology,,Female,Percentage,,,35.4,1.6%,7.3%,18.4%,45.7%,72.3%,90.9%,97.9%,2.1%
5,Biology,,Total,Number,13377,12824,,232,971,2422,5819,9159,11505,12464,360
6,Biology,,Total,Percentage,,,38,1.8%,7.6%,18.9%,45.4%,71.4%,89.7%,97.2%,2.8%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3278,3055,,52,195,460,1273,2050,2726,2984,71
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,38.8,1.7%,6.4%,15.1%,41.7%,67.1%,89.2%,97.7%,2.3%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3977,3867,,44,206,540,1753,2797,3577,3798,69
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,29.1,1.1%,5.3%,14.0%,45.3%,72.3%,92.5%,98.2%,1.8%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,7255,6922,,96,401,1000,3026,4847,6303,6782,140
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,33.4,1.4%,5.8%,14.4%,43.7%,70.0%,91.1%,98.0%,2.0%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1322,1228,,5,26,70,295,644,1018,1167,61
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,76.2,0.4%,2.1%,5.7%,24.0%,52.4%,82.9%,95.0%,5.0%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1367,1304,,16,50,113,445,830,1172,1273,31
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,68,1.2%,3.8%,8.7%,34.1%,63.7%,89.9%,97.6%,2.4%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2689,2532,,21,76,183,740,1474,2190,2440,92
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,72,0.8%,3.0%,7.2%,29.2%,58.2%,86.5%,96.4%,3.6%
19,Chemistry,,Male,Number,7061,6724,,207,744,1721,3400,5043,5837,6396,328
20,Chemistry,,Male,Percentage,,,28.2,3.1%,11.1%,25.6%,50.6%,75.0%,86.8%,95.1%,4.9%
21,Chemistry,,Female,Number,5684,5502,,93,473,1285,2730,4158,4863,5302,200
22,Chemistry,,Female,Percentage,,,19.8,1.7%,8.6%,23.4%,49.6%,75.6%,88.4%,96.4%,3.6%
23,Chemistry,,Total,Number,12745,12226,,300,1217,3006,6130,9201,10700,11698,528
24,Chemistry,,Total,Percentage,,,24.4,2.5%,10.0%,24.6%,50.1%,75.3%,87.5%,95.7%,4.3%
25,Chinese History,,Male,Number,2664,2460,,35,121,276,812,1546,2181,2356,104
26,Chinese History,,Male,Percentage,,,-,1.4%,4.9%,11.2%,33.0%,62.8%,88.7%,95.8%,4.2%
27,Chinese History,,Female,Number,3372,3210,,40,175,450,1267,2266,2971,3162,48
28,Chinese History,,Female,Percentage,,,-,1.2%,5.5%,14.0%,39.5%,70.6%,92.6%,98.5%,1.5%
29,Chinese History,,Total,Number,6036,5670,,75,296,726,2079,3812,5152,5518,152
30,Chinese History,,Total,Percentage,,,-,1.3%,5.2%,12.8%,36.7%,67.2%,90.9%,97.3%,2.7%
