Row No,Description,Type,"Day school candidates 
taking at least five 
Category A / B subjects - Male","Day school candidates 
taking at least five 
Category A / B subjects - Female","Day school candidates 
taking at least five 
Category A / B subjects - Total","All candidates 
taking at least five 
Category A / B subjects - Male","All candidates 
taking at least five 
Category A / B subjects - Famale","All candidates 
taking at least five 
Category A / B subjects - Total",,
1,No of People,Number,24881,24815,49696,26366,25785,52151,,
2,Five level 5**,Number,51,37,88,52,37,89,,
3,Five level 5**,Percentage,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,,
4,Five level 5* or above,Number,362,360,722,368,361,729,,
5,Five level 5* or above,Percentage,1.5%,1.5%,1.5%,1.4%,1.4%,1.4%,,
6,Five level 5 or above,Number,1133,1356,2489,1149,1372,2521,,
7,Five level 5 or above,Percentage,4.6%,5.5%,5.0%,4.4%,5.3%,4.8%,,
8,Five level 4 or above,Number,4394,6065,10459,4533,6143,10676,,
9,Five level 4 or above,Percentage,17.7%,24.4%,21.0%,17.2%,23.8%,20.5%,,
10,Five level 3 or above,Number,10019,12916,22935,10448,13177,23625,,
11,Five level 3 or above,Percentage,40.3%,52.0%,46.2%,39.6%,51.1%,45.3%,,
12,Five level 2 or above,Number,17447,19844,37291,18386,20401,38787,,
13,Five level 2 or above,Percentage,70.1%,80.0%,75.0%,69.7%,79.1%,74.4%,,
14,Five level 1 or above,Number,21831,23079,44910,23087,23848,46935,,
15,Five level 1 or above,Percentage,87.7%,93.0%,90.4%,87.6%,92.5%,90.0%,,
16,Four level 1 or above,Number,23399,23996,47395,24752,24844,49596,,
17,Four level 1 or above,Percentage,94.0%,96.7%,95.4%,93.9%,96.4%,95.1%,,
18,Three level 1 or above,Number,24166,24458,48624,25557,25369,50926,,
19,Three level 1 or above,Percentage,97.1%,98.6%,97.8%,96.9%,98.4%,97.7%,,
20,Two level 1 or above,Number,24534,24686,49220,25958,25623,51581,,
21,Two level 1 or above,Percentage,98.6%,99.5%,99.0%,98.5%,99.4%,98.9%,,
22,One level 1 or above,Number,24735,24757,49492,26188,25714,51902,,
23,One level 1 or above,Percentage,99.4%,99.8%,99.6%,99.3%,99.7%,99.5%,,
