No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total,,,,,,,,,,
1,5**,Number,104,141,82,104,31,5,0,0,467,,,,,,,,,,
2,5**,Percentage,0.2%,0.3%,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.9%,,,,,,,,,,
3,5*,Number,132,261,311,397,177,36,4,0,1318,,,,,,,,,,
4,5*,Percentage,0.3%,0.5%,0.6%,0.8%,0.4%,0.1%,0.0%,0.0%,2.7%,,,,,,,,,,
5,5,Number,116,363,631,957,571,168,11,4,2821,,,,,,,,,,
6,5,Percentage,0.2%,0.7%,1.3%,1.9%,1.2%,0.3%,0.0%,0.0%,5.7%,,,,,,,,,,
7,4,Number,116,484,1182,3208,3021,1179,157,23,9370,,,,,,,,,,
8,4,Percentage,0.2%,1.0%,2.4%,6.5%,6.1%,2.4%,0.3%,0.0%,19.0%,,,,,,,,,,
9,3,Number,45,190,591,2979,5027,3968,965,161,13926,,,,,,,,,,
10,3,Percentage,0.1%,0.4%,1.2%,6.0%,10.2%,8.0%,2.0%,0.3%,28.2%,,,,,,,,,,
11,2,Number,13,36,106,814,3109,5890,3586,1415,14969,,,,,,,,,,
12,2,Percentage,0.0%,0.1%,0.2%,1.6%,6.3%,11.9%,7.3%,2.9%,30.3%,,,,,,,,,,
13,1,Number,0,4,9,38,210,1016,1846,2453,5576,,,,,,,,,,
14,1,Percentage,0.0%,0.0%,0.0%,0.1%,0.4%,2.1%,3.7%,5.0%,11.3%,,,,,,,,,,
15,U,Number,0,0,0,2,18,43,112,794,969,,,,,,,,,,
16,U,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,1.6%,2.0%,,,,,,,,,,
17,Total,Number,526,1479,2912,8499,12164,12305,6681,4850,49416,,,,,,,,,,
18,Total,Percentage,1.1%,3.0%,5.9%,17.2%,24.6%,24.9%,13.5%,9.8%,100.0%,,,,,,,,,,
