No.,Attainment in Mathematics Compulsory  Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1 ,Attainment in Mathematics Extended Part - U,Total,,,,,,,,,,
1,5**,Number,164,239,147,30,8,1,0,0,589,,,,,,,,,,
2,5**,Percentage,2.4%,3.5%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,8.7%,,,,,,,,,,
3,5*,Number,70,339,604,239,100,11,2,0,1365,,,,,,,,,,
4,5*,Percentage,1.0%,5.0%,8.9%,3.5%,1.5%,0.2%,0.0%,0.0%,20.2%,,,,,,,,,,
5,5,Number,14,173,675,598,399,103,11,2,1975,,,,,,,,,,
6,5,Percentage,0.2%,2.6%,10.0%,8.8%,5.9%,1.5%,0.2%,0.0%,29.2%,,,,,,,,,,
7,4,Number,1,20,170,517,764,557,173,49,2251,,,,,,,,,,
8,4,Percentage,0.0%,0.3%,2.5%,7.6%,11.3%,8.2%,2.6%,0.7%,33.2%,,,,,,,,,,
9,3,Number,0,0,0,5,61,148,192,69,475,,,,,,,,,,
10,3,Percentage,0.0%,0.0%,0.0%,0.1%,0.9%,2.2%,2.8%,1.0%,7.0%,,,,,,,,,,
11,2,Number,0,0,0,0,0,18,35,58,111,,,,,,,,,,
12,2,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.5%,0.9%,1.6%,,,,,,,,,,
13,1,Number,0,0,0,0,0,0,1,6,7,,,,,,,,,,
14,1,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,,,,,,,,,,
15,U,Number,0,0,0,0,0,0,0,1,1,,,,,,,,,,
16,U,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,
17,Total,Number,249,771,1596,1389,1332,838,414,185,6774,,,,,,,,,,
18,Total,Percentage,3.7%,11.4%,23.6%,20.5%,19.7%,12.4%,6.1%,2.7%,100.0%,,,,,,,,,,
