No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance -  5**,Performance -  5*,Performance -  5+,Performance -  4+,Performance -  3+,Performance -  2+,Performance -  1+,Performance -  U
1,Biology,,Male,Number,5640,5500,43.4,143,490,1101,2518,3847,4884,5294,206
2,Biology,,Male,Percentage,,,,2.6%,8.9%,20.0%,45.8%,69.9%,88.8%,96.3%,3.7%
3,Biology,,Female,Number,7988,7869,36.2,118,534,1485,3661,5737,7157,7678,191
4,Biology,,Female,Percentage,,,,1.5%,6.8%,18.9%,46.5%,72.9%,91.0%,97.6%,2.4%
5,Biology,,Total,Number,13628,13369,39.2,261,1024,2586,6179,9584,12041,12972,397
6,Biology,,Total,Percentage,,,,2.0%,7.7%,19.3%,46.2%,71.7%,90.1%,97.0%,3.0%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3499,3394,42.1,55,195,475,1396,2280,3005,3282,112
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,,1.6%,5.7%,14.0%,41.1%,67.2%,88.5%,96.7%,3.3%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,4284,4209,29.6,49,231,573,1935,3180,3903,4132,77
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,,1.2%,5.5%,13.6%,46.0%,75.6%,92.7%,98.2%,1.8%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,7783,7603,35.2,104,426,1048,3331,5460,6908,7414,189
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,,1.4%,5.6%,13.8%,43.8%,71.8%,90.9%,97.5%,2.5%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1401,1326,74.9,7,36,84,335,725,1109,1256,70
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,,0.5%,2.7%,6.3%,25.3%,54.7%,83.6%,94.7%,5.3%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1525,1495,68.1,14,49,123,511,979,1352,1468,27
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,,0.9%,3.3%,8.2%,34.2%,65.5%,90.4%,98.2%,1.8%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2926,2821,71.3,21,85,207,846,1704,2461,2724,97
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,,0.7%,3.0%,7.3%,30.0%,60.4%,87.2%,96.6%,3.4%
19,Chemistry,,Male,Number,7063,6810,26.3,230,826,1936,3612,5208,5973,6502,308
20,Chemistry,,Male,Percentage,,,,3.4%,12.1%,28.4%,53.0%,76.5%,87.7%,95.5%,4.5%
21,Chemistry,,Female,Number,5924,5802,18.3,109,530,1424,2983,4502,5177,5630,172
22,Chemistry,,Female,Percentage,,,,1.9%,9.1%,24.5%,51.4%,77.6%,89.2%,97.0%,3.0%
23,Chemistry,,Total,Number,12987,12612,22.6,339,1356,3360,6595,9710,11150,12132,480
24,Chemistry,,Total,Percentage,,,,2.7%,10.8%,26.6%,52.3%,77.0%,88.4%,96.2%,3.8%
25,Chinese History,,Male,Number,2743,2649,-,24,102,259,801,1587,2323,2548,101
26,Chinese History,,Male,Percentage,,,,0.9%,3.9%,9.8%,30.2%,59.9%,87.7%,96.2%,3.8%
27,Chinese History,,Female,Number,3088,3040,-,46,184,451,1257,2159,2815,2983,57
28,Chinese History,,Female,Percentage,,,,1.5%,6.1%,14.8%,41.3%,71.0%,92.6%,98.1%,1.9%
29,Chinese History,,Total,Number,5831,5689,-,70,286,710,2058,3746,5138,5531,158
30,Chinese History,,Total,Percentage,,,,1.2%,5.0%,12.5%,36.2%,65.8%,90.3%,97.2%,2.8%
31,Chinese Language,,Male,Number,25258,25103,-,133,531,1406,4918,11450,20203,24214,889
32,Chinese Language,,Male,Percentage,,,,0.5%,2.1%,5.6%,19.6%,45.6%,80.5%,96.5%,3.5%
33,Chinese Language,,Female,Number,24850,24765,-,334,1254,3201,9064,16471,22746,24474,291
