No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Science,Applied Psychology,Male,Number,82,78,23,70,8
2,Applied Science,Applied Psychology,Male,Percentage,,,29.5%,89.7%,10.3%
3,Applied Science,Applied Psychology,Female,Number,54,52,21,48,4
4,Applied Science,Applied Psychology,Female,Percentage,,,40.4%,92.3%,7.7%
5,Applied Science,Applied Psychology,Total,Number,136,130,44,118,12
6,Applied Science,Applied Psychology,Total,Percentage,,,33.8%,90.8%,9.2%
7,Applied Science,Exercise Science and Health Fitness,Male,Number,22,20,5,19,1
8,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,25.0%,95.0%,5.0%
9,Applied Science,Exercise Science and Health Fitness,Female,Number,8,8,2,8,0
10,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,25.0%,100.0%,0.0%
11,Applied Science,Exercise Science and Health Fitness,Total,Number,30,28,7,27,1
12,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,25.0%,96.4%,3.6%
13,Applied Science,Exploring Psychology,Male,Number,20,17,2,17,0
14,Applied Science,Exploring Psychology,Male,Percentage,,,11.8%,100.0%,0.0%
15,Applied Science,Exploring Psychology,Female,Number,22,18,12,18,0
16,Applied Science,Exploring Psychology,Female,Percentage,,,66.7%,100.0%,0.0%
17,Applied Science,Exploring Psychology,Total,Number,42,35,14,35,0
18,Applied Science,Exploring Psychology,Total,Percentage,,,40.0%,100.0%,0.0%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,22,20,9,19,1
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,45.0%,95.0%,5.0%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,33,31,13,31,0
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,41.9%,100.0%,0.0%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,55,51,22,50,1
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,43.1%,98.0%,2.0%
25,Applied Science,Fundamental Health Care,Male,Number,0,0,-,-,-
26,Applied Science,Fundamental Health Care,Male,Percentage,,,-,-,-
27,Applied Science,Fundamental Health Care,Female,Number,0,0,-,-,-
28,Applied Science,Fundamental Health Care,Female,Percentage,,,-,-,-
29,Applied Science,Fundamental Health Care,Total,Number,0,0,-,-,-
30,Applied Science,Fundamental Health Care,Total,Percentage,,,-,-,-
31,Applied Science,Health Care Practice,Male,Number,41,39,6,38,1
32,Applied Science,Health Care Practice,Male,Percentage,,,15.4%,97.4%,2.6%
33,Applied Science,Health Care Practice,Female,Number,109,104,40,101,3
34,Applied Science,Health Care Practice,Female,Percentage,,,38.5%,97.1%,2.9%
35,Applied Science,Health Care Practice,Total,Number,150,143,46,139,4
36,Applied Science,Health Care Practice,Total,Percentage,,,32.2%,97.2%,2.8%
37,Applied Science,Medical Laboratory Science,Male,Number,19,17,5,11,6
38,Applied Science,Medical Laboratory Science,Male,Percentage,,,29.4%,64.7%,35.3%
39,Applied Science,Medical Laboratory Science,Female,Number,25,23,14,21,2
40,Applied Science,Medical Laboratory Science,Female,Percentage,,,60.9%,91.3%,8.7%
41,Applied Science,Medical Laboratory Science,Total,Number,44,40,19,32,8
42,Applied Science,Medical Laboratory Science,Total,Percentage,,,47.5%,80.0%,20.0%
43,Applied Science,Sports and Fitness Coaching,Male,Number,81,61,14,55,6
44,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,23.0%,90.2%,9.8%
45,Applied Science,Sports and Fitness Coaching,Female,Number,17,14,2,14,0
46,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,14.3%,100.0%,0.0%
47,Applied Science,Sports and Fitness Coaching,Total,Number,98,75,16,69,6
48,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,21.3%,92.0%,8.0%
49,"Business, Management and Law",Applied Business Research,Male,Number,6,6,3,5,1
50,"Business, Management and Law",Applied Business Research,Male,Percentage,,,50.0%,83.3%,16.7%
51,"Business, Management and Law",Applied Business Research,Female,Number,0,0,-,-,-
52,"Business, Management and Law",Applied Business Research,Female,Percentage,,,-,-,-
53,"Business, Management and Law",Applied Business Research,Total,Number,6,6,3,5,1
54,"Business, Management and Law",Applied Business Research,Total,Percentage,,,50.0%,83.3%,16.7%
55,"Business, Management and Law",Entrepreneurship for SME,Male,Number,15,11,2,10,1
56,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,18.2%,90.9%,9.1%
57,"Business, Management and Law",Entrepreneurship for SME,Female,Number,13,12,2,11,1
58,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,16.7%,91.7%,8.3%
59,"Business, Management and Law",Entrepreneurship for SME,Total,Number,28,23,4,21,2
60,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,17.4%,91.3%,8.7%
61,"Business, Management and Law",Financial Markets and Operations,Male,Number,0,0,-,-,-
62,"Business, Management and Law",Financial Markets and Operations,Male,Percentage,,,-,-,-
63,"Business, Management and Law",Financial Markets and Operations,Female,Number,0,0,-,-,-
64,"Business, Management and Law",Financial Markets and Operations,Female,Percentage,,,-,-,-
65,"Business, Management and Law",Financial Markets and Operations,Total,Number,0,0,-,-,-
66,"Business, Management and Law",Financial Markets and Operations,Total,Percentage,,,-,-,-
67,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,12,9,4,9,0
68,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,44.4%,100.0%,0.0%
69,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,12,12,3,12,0
70,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,25.0%,100.0%,0.0%
71,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,24,21,7,21,0
72,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,33.3%,100.0%,0.0%
73,"Business, Management and Law",Marketing and Online Promotion,Male,Number,6,4,0,2,2
74,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,0.0%,50.0%,50.0%
75,"Business, Management and Law",Marketing and Online Promotion,Female,Number,6,6,4,6,0
76,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,66.7%,100.0%,0.0%
77,"Business, Management and Law",Marketing and Online Promotion,Total,Number,12,10,4,8,2
78,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,40.0%,80.0%,20.0%
