No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Science,Applied Psychology,Male,Number,83,79,23,71,8
2,Applied Science,Applied Psychology,Male,Percentage,,,29.1%,89.9%,10.1%
3,Applied Science,Applied Psychology,Female,Number,56,54,22,50,4
4,Applied Science,Applied Psychology,Female,Percentage,,,40.7%,92.6%,7.4%
5,Applied Science,Applied Psychology,Total,Number,139,133,45,121,12
6,Applied Science,Applied Psychology,Total,Percentage,,,33.8%,91.0%,9.0%
7,Applied Science,Exercise Science and Health Fitness,Male,Number,22,20,5,19,1
8,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,25.0%,95.0%,5.0%
9,Applied Science,Exercise Science and Health Fitness,Female,Number,8,8,2,8,0
10,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,25.0%,100.0%,0.0%
11,Applied Science,Exercise Science and Health Fitness,Total,Number,30,28,7,27,1
12,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,25.0%,96.4%,3.6%
13,Applied Science,Exploring Psychology,Male,Number,21,18,2,18,0
14,Applied Science,Exploring Psychology,Male,Percentage,,,11.1%,100.0%,0.0%
15,Applied Science,Exploring Psychology,Female,Number,23,19,12,19,0
16,Applied Science,Exploring Psychology,Female,Percentage,,,63.2%,100.0%,0.0%
17,Applied Science,Exploring Psychology,Total,Number,44,37,14,37,0
18,Applied Science,Exploring Psychology,Total,Percentage,,,37.8%,100.0%,0.0%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,22,20,9,19,1
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,45.0%,95.0%,5.0%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,35,33,15,33,0
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,45.5%,100.0%,0.0%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,57,53,24,52,1
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,45.3%,98.1%,1.9%
25,Applied Science,Fundamental Health Care,Male,Number,0,0,-,-,-
26,Applied Science,Fundamental Health Care,Male,Percentage,,,-,-,-
27,Applied Science,Fundamental Health Care,Female,Number,0,0,-,-,-
28,Applied Science,Fundamental Health Care,Female,Percentage,,,-,-,-
29,Applied Science,Fundamental Health Care,Total,Number,0,0,-,-,-
30,Applied Science,Fundamental Health Care,Total,Percentage,,,-,-,-
31,Applied Science,Health Care Practice,Male,Number,42,40,6,39,1
32,Applied Science,Health Care Practice,Male,Percentage,,,15.0%,97.5%,2.5%
33,Applied Science,Health Care Practice,Female,Number,110,105,40,102,3
34,Applied Science,Health Care Practice,Female,Percentage,,,38.1%,97.1%,2.9%
35,Applied Science,Health Care Practice,Total,Number,152,145,46,141,4
36,Applied Science,Health Care Practice,Total,Percentage,,,31.7%,97.2%,2.8%
37,Applied Science,Medical Laboratory Science,Male,Number,19,17,5,11,6
38,Applied Science,Medical Laboratory Science,Male,Percentage,,,29.4%,64.7%,35.3%
39,Applied Science,Medical Laboratory Science,Female,Number,25,23,14,21,2
40,Applied Science,Medical Laboratory Science,Female,Percentage,,,60.9%,91.3%,8.7%
41,Applied Science,Medical Laboratory Science,Total,Number,44,40,19,32,8
42,Applied Science,Medical Laboratory Science,Total,Percentage,,,47.5%,80.0%,20.0%
