No,Subject,"
Gender",Type,"
No.
entered",No. sat,Performance - a,Performance -b+,Performance -c+,Performance -d+,Performance -e+,Performance -U
1,French Language,Male,Number,23,20,3,6,9,12,15,5
2,French Language,Male,Percentage,,,15.0%,30.0%,45.0%,60.0%,75.0%,25.0%
3,French Language,Female,Number,44,41,5,8,14,19,25,16
4,French Language,Female,Percentage,,,12.2%,19.5%,34.1%,46.3%,61.0%,39.0%
5,French Language,Total,Number,67,61,8,14,23,31,40,21
6,French Language,Total,Percentage,,,13.1%,23.0%,37.7%,50.8%,65.6%,34.4%
7,German Language,Male,Number,4,4,2,3,3,4,4,0
8,German Language,Male,Percentage,,,50.0%,75.0%,75.0%,100.0%,100.0%,0.0%
9,German Language,Female,Number,5,5,1,3,3,4,5,0
10,German Language,Female,Percentage,,,20.0%,60.0%,60.0%,80.0%,100.0%,0.0%
11,German Language,Total,Number,9,9,3,6,6,8,9,0
12,German Language,Total,Percentage,,,33.3%,66.7%,66.7%,88.9%,100.0%,0.0%
13,Hindi Language,Male,Number,3,3,0,0,0,0,0,3
14,Hindi Language,Male,Percentage,,,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
15,Hindi Language,Female,Number,5,5,1,2,2,3,4,1
16,Hindi Language,Female,Percentage,,,20.0%,40.0%,40.0%,60.0%,80.0%,20.0%
17,Hindi Language,Total,Number,8,8,1,2,2,3,4,4
18,Hindi Language,Total,Percentage,,,12.5%,25.0%,25.0%,37.5%,50.0%,50.0%
19,Japanese Language,Male,Number,80,69,26,42,57,63,66,3
20,Japanese Language,Male,Percentage,,,37.7%,60.9%,82.6%,91.3%,95.7%,4.3%
21,Japanese Language,Female,Number,152,144,74,115,129,138,140,4
22,Japanese Language,Female,Percentage,,,51.4%,79.9%,89.6%,95.8%,97.2%,2.8%
23,Japanese Language,Total,Number,232,213,100,157,186,201,206,7
24,Japanese Language,Total,Percentage,,,46.9%,73.7%,87.3%,94.4%,96.7%,3.3%
25,Spanish Language,Male,Number,11,10,1,2,3,5,7,3
26,Spanish Language,Male,Percentage,,,10.0%,20.0%,30.0%,50.0%,70.0%,30.0%
27,Spanish Language,Female,Number,4,4,2,2,3,3,3,1
28,Spanish Language,Female,Percentage,,,50.0%,50.0%,75.0%,75.0%,75.0%,25.0%
29,Spanish Language,Total,Number,15,14,3,4,6,8,10,4
30,Spanish Language,Total,Percentage,,,21.4%,28.6%,42.9%,57.1%,71.4%,28.6%
31,Urdu Language,Male,Number,14,14,6,9,11,12,13,1
32,Urdu Language,Male,Percentage,,,42.9%,64.3%,78.6%,85.7%,92.9%,7.1%
33,Urdu Language,Female,Number,5,5,2,2,4,4,4,1
34,Urdu Language,Female,Percentage,,,40.0%,40.0%,80.0%,80.0%,80.0%,20.0%
35,Urdu Language,Total,Number,19,19,8,11,15,16,17,2
36,Urdu Language,Total,Percentage,,,42.1%,57.9%,78.9%,84.2%,89.5%,10.5%
37,All Category C subjects,Male,Number,135,120,38,62,83,96,105,15
38,All Category C subjects,Male,Percentage,,,31.7%,51.7%,69.2%,80.0%,87.5%,12.5%
39,All Category C subjects,Female,Number,215,204,85,132,155,171,181,23
40,All Category C subjects,Female,Percentage,,,41.7%,64.7%,76.0%,83.8%,88.7%,11.3%
41,All Category C subjects,Total,Number,350,324,123,194,238,267,286,38
42,All Category C subjects,Total,Percentage,,,38.0%,59.9%,73.5%,82.4%,88.3%,11.7%
