No,Description,Type,"Day school candidates 
taking at least five 
Category A / B subjects - Male","Day school candidates 
taking at least five 
Category A / B subjects - Female","Day school candidates 
taking at least five 
Category A / B subjects - Total","All candidates 
taking at least five 
Category A / B subjects - Male","All candidates 
taking at least five 
Category A / B subjects - Female","All candidates 
taking at least five 
Category A / B subjects - Total",,
1,No. of candidates,Number,24378,24755,49133,25329,25491,50820,,
2,Five level 5**,Number,53,33,86,53,33,86,,
3,Five level 5**,Percentage,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,,
4,Five level 5* or above,Number,314,306,620,316,306,622,,
5,Five level 5* or above,Percentage,1.3%,1.2%,1.3%,1.2%,1.2%,1.2%,,
6,Five level 5 or above,Number,1011,1226,2237,1021,1230,2251,,
7,Five level 5 or above,Percentage,4.1%,5.0%,4.6%,4.0%,4.8%,4.4%,,
8,Five level 4 or above,Number,4314,6038,10352,4390,6089,10479,,
9,Five level 4 or above,Percentage,17.7%,24.4%,21.1%,17.3%,23.9%,20.6%,,
10,Five level 3 or above,Number,10154,13050,23204,10376,13188,23564,,
11,Five level 3 or above,Percentage,41.7%,52.7%,47.2%,41.0%,51.7%,46.4%,,
12,Five level 2 or above,Number,17748,20035,37783,18265,20377,38642,,
13,Five level 2 or above,Percentage,72.8%,80.9%,76.9%,72.1%,79.9%,76.0%,,
14,Five level 1 or above,Number,21804,23169,44973,22541,23711,46252,,
15,Five level 1 or above,Percentage,89.4%,93.6%,91.5%,89.0%,93.0%,91.0%,,
16,Four level 1 or above,Number,23084,24057,47141,23901,24661,48562,,
17,Four level 1 or above,Percentage,94.7%,97.2%,95.9%,94.4%,96.7%,95.6%,,
18,Three level 1 or above,Number,23708,24461,48169,24573,25098,49671,,
19,Three level 1 or above,Percentage,97.3%,98.8%,98.0%,97.0%,98.5%,97.7%,,
20,Two level 1 or above,Number,24053,24635,48688,24946,25313,50259,,
21,Two level 1 or above,Percentage,98.7%,99.5%,99.1%,98.5%,99.3%,98.9%,,
22,One level 1 or above,Number,24247,24712,48959,25173,25426,50599,,
23,One level 1 or above,Percentage,99.5%,99.8%,99.6%,99.4%,99.7%,99.6%,,
