No,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total,,,,,,,
1,No. of candidates,Number,25256,25191,50447,29337,28312,57649,,,,,,,
2,Core subjects at 3322 or better,Number,8563,12758,21321,8719,12884,21603,,,,,,,
3,Core subjects at 3322 or better,Percentage,33.9%,50.6%,42.3%,29.7%,45.5%,37.5%,,,,,,,
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,8546,12718,21264,8693,12832,21525,,,,,,,
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,33.8%,50.5%,42.2%,29.6%,45.3%,37.3%,,,,,,,
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,8192,12235,20427,8315,12321,20636,,,,,,,
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,32.4%,48.6%,40.5%,28.3%,43.5%,35.8%,,,,,,,
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,8300,12191,20491,8435,12293,20728,,,,,,,
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,32.9%,48.4%,40.6%,28.8%,43.4%,36.0%,,,,,,,
10,"Core subjects at 3322 or better, with two electives at level 3+ # ",Number,7400,10517,17917,7505,10589,18094,,,,,,,
11,"Core subjects at 3322 or better, with two electives at level 3+ # ",Percentage,29.3%,41.7%,35.5%,25.6%,37.4%,31.4%,,,,,,,
12,"Core subjects at 3332 or better, with one elective at level 3+ # ",Number,7934,11067,19001,8060,11159,19219,,,,,,,
13,"Core subjects at 3332 or better, with one elective at level 3+ # ",Percentage,31.4%,43.9%,37.7%,27.5%,39.4%,33.3%,,,,,,,
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,7192,9875,17067,7293,9945,17238,,,,,,,
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,28.5%,39.2%,33.8%,24.9%,35.1%,29.9%,,,,,,,
16,"Core subjects at 3322 or better, with one elective at level 4+ ",Number,7037,9484,16521,7149,9555,16704,,,,,,,
17,"Core subjects at 3322 or better, with one elective at level 4+ ",Percentage,27.9%,37.6%,32.7%,24.4%,33.7%,29.0%,,,,,,,
18,"Core subjects at 3322 or better, with two electives at level 4+ ",Number,5270,6471,11741,5344,6509,11853,,,,,,,
19,"Core subjects at 3322 or better, with two electives at level 4+ ",Percentage,20.9%,25.7%,23.3%,18.2%,23.0%,20.6%,,,,,,,
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3898,4271,8169,3962,4300,8262,,,,,,,
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,15.4%,17.0%,16.2%,13.5%,15.2%,14.3%,,,,,,,
22,"Core subjects at 3322 or better, with two electives at level 5+ ",Number,2214,2090,4304,2251,2107,4358,,,,,,,
23,"Core subjects at 3322 or better, with two electives at level 5+ ",Percentage,8.8%,8.3%,8.5%,7.7%,7.4%,7.6%,,,,,,,
24,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Number,3064,1717,4781,3095,1727,4822,,,,,,,
25,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Percentage,12.1%,6.8%,9.5%,10.5%,6.1%,8.4%,,,,,,,
26,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Number,2840,1513,4353,2869,1521,4390,,,,,,,
27,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Percentage,11.2%,6.0%,8.6%,9.8%,5.4%,7.6%,,,,,,,
28,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Number,2833,1509,4342,2860,1517,4377,,,,,,,
29,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Percentage,11.2%,6.0%,8.6%,9.7%,5.4%,7.6%,,,,,,,
