No.,Attainment in Mathematics Compulsory  Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total,,,,,,,,,,
1,5**,Number,141,202,157,32,10,,,,542,,,,,,,,,,
2,5**,Percentage,2.1%,2.9%,2.3%,0.5%,0.1%,,,,7.9%,,,,,,,,,,
3,5*,Number,75,305,571,282,98,6,3,,1340,,,,,,,,,,
4,5*,Percentage,1.1%,4.4%,8.3%,4.1%,1.4%,0.1%,0.0%,,19.5%,,,,,,,,,,
5,5,Number,14,134,511,694,372,90,15,3,1833,,,,,,,,,,
6,5,Percentage,0.2%,2.0%,7.4%,10.1%,5.4%,1.3%,0.2%,0.0%,26.7%,,,,,,,,,,
7,4,Number,,20,163,669,841,588,197,40,2518,,,,,,,,,,
8,4,Percentage,,0.3%,2.4%,9.7%,12.2%,8.6%,2.9%,0.6%,36.7%,,,,,,,,,,
9,3,Number,,,2,9,77,174,173,95,530,,,,,,,,,,
10,3,Percentage,,,0.0%,0.1%,1.1%,2.5%,2.5%,1.4%,7.7%,,,,,,,,,,
11,2,Number,,,,,1,6,32,55,94,,,,,,,,,,
12,2,Percentage,,,,,0.0%,0.1%,0.5%,0.8%,1.4%,,,,,,,,,,
13,1,Number,,,,,,,,9,9,,,,,,,,,,
14,1,Percentage,,,,,,,,0.1%,0.1%,,,,,,,,,,
15,U,Number,,,,,,,,,,,,,,,,,,,
16,U,Percentage,,,,,,,,,,,,,,,,,,,
17,Total,Number,230,661,1404,1686,1399,864,420,202,6866,,,,,,,,,,
18,Total,Percentage,3.3%,9.6%,20.4%,24.6%,20.4%,12.6%,6.1%,2.9%,100.0%,,,,,,,,,,
