No.,Attainment in Mathematics Compulsory  Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total,,,,,,,,,,
1,5**,Number,173,227,170,36,10,,,,616,,,,,,,,,,
2,5**,Percentage,2.3%,3.0%,2.3%,0.5%,0.1%,,,,8.2%,,,,,,,,,,
3,5*,Number,79,334,611,299,104,8,3,,1438,,,,,,,,,,
4,5*,Percentage,1.1%,4.5%,8.2%,4.0%,1.4%,0.1%,0.0%,,19.2%,,,,,,,,,,
5,5,Number,14,145,537,735,399,99,20,3,1952,,,,,,,,,,
6,5,Percentage,0.2%,1.9%,7.2%,9.8%,5.3%,1.3%,0.3%,0.0%,26.1%,,,,,,,,,,
7,4,Number,,25,183,713,913,643,221,48,2746,,,,,,,,,,
8,4,Percentage,,0.3%,2.4%,9.5%,12.2%,8.6%,3.0%,0.6%,36.7%,,,,,,,,,,
9,3,Number,,,2,11,83,194,195,112,597,,,,,,,,,,
10,3,Percentage,,,0.0%,0.1%,1.1%,2.6%,2.6%,1.5%,8.0%,,,,,,,,,,
11,2,Number,1,,,,1,7,38,67,114,,,,,,,,,,
12,2,Percentage,0.0%,,,,0.0%,0.1%,0.5%,0.9%,1.5%,,,,,,,,,,
13,1,Number,,,,,,,,16,16,,,,,,,,,,
14,1,Percentage,,,,,,,,0.2%,0.2%,,,,,,,,,,
15,U,Number,,1,,,,,,1,2,,,,,,,,,,
16,U,Percentage,,0.0%,,,,,,0.0%,0.0%,,,,,,,,,,
17,Total,Number,267,732,1503,1794,1510,951,477,247,7481,,,,,,,,,,
18,Total,Percentage,3.6%,9.8%,20.1%,24.0%,20.2%,12.7%,6.4%,3.3%,100.0%,,,,,,,,,,
