No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Number,61,60,13,52,8
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Percentage,,,21.7%,86.7%,13.3%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Number,37,37,16,37,0
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Percentage,,,43.2%,100.0%,0.0%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Number,98,97,29,89,8
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Percentage,,,29.9%,91.8%,8.2%
7,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Number,11,9,2,8,1
8,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Percentage,,,22.2%,88.9%,11.1%
9,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Number,16,15,3,12,3
10,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Percentage,,,20.0%,80.0%,20.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Number,27,24,5,20,4
12,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Percentage,,,20.8%,83.3%,16.7%
13,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,72,69,15,60,9
14,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,21.7%,87.0%,13.0%
15,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,53,52,19,49,3
16,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,36.5%,94.2%,5.8%
17,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,125,121,34,109,12
18,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,28.1%,90.1%,9.9%
