No,Subject,Subject_2,Gender,Type,"No.
entered",No. sat,"Chinese version
%",Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,6015,5813,,128,497,1099,2545,4117,5223,5655,158
2,Biology,,Male,Percentage,,,45.5,2.2%,8.5%,18.9%,43.8%,70.8%,89.9%,97.3%,2.7%
3,Biology,,Female,Number,8533,8335,,113,506,1419,3656,5982,7577,8161,174
4,Biology,,Female,Percentage,,,36.2,1.4%,6.1%,17.0%,43.9%,71.8%,90.9%,97.9%,2.1%
5,Biology,,Total,Number,14548,14148,,241,1003,2518,6201,10099,12800,13816,332
6,Biology,,Total,Percentage,,,40.0,1.7%,7.1%,17.8%,43.8%,71.4%,90.5%,97.7%,2.3%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3710,3516,,53,204,450,1444,2409,3157,3402,114
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,41.4,1.5%,5.8%,12.8%,41.1%,68.5%,89.8%,96.8%,3.2%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,4587,4445,,52,222,607,1999,3259,4090,4358,87
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,29.9,1.2%,5.0%,13.7%,45.0%,73.3%,92.0%,98.0%,2.0%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,8297,7961,,105,426,1057,3443,5668,7247,7760,201
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,35.0,1.3%,5.4%,13.3%,43.2%,71.2%,91.0%,97.5%,2.5%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1463,1373,,8,32,81,352,724,1167,1326,47
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,76.6,0.6%,2.3%,5.9%,25.6%,52.7%,85.0%,96.6%,3.4%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1569,1523,,13,51,117,499,966,1375,1480,43
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,69.8,0.9%,3.3%,7.7%,32.8%,63.4%,90.3%,97.2%,2.8%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,3032,2896,,21,83,198,851,1690,2542,2806,90
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,73.0,0.7%,2.9%,6.8%,29.4%,58.4%,87.8%,96.9%,3.1%
19,Chemistry,,Male,Number,7706,7316,,211,786,1864,3808,5554,6426,7009,307
20,Chemistry,,Male,Percentage,,,28.0,2.9%,10.7%,25.5%,52.1%,75.9%,87.8%,95.8%,4.2%
21,Chemistry,,Female,Number,6407,6180,,114,480,1310,3061,4684,5449,5957,223
22,Chemistry,,Female,Percentage,,,19.4,1.8%,7.8%,21.2%,49.5%,75.8%,88.2%,96.4%,3.6%
23,Chemistry,,Total,Number,14113,13496,,325,1266,3174,6869,10238,11875,12966,530
24,Chemistry,,Total,Percentage,,,24.0,2.4%,9.4%,23.5%,50.9%,75.9%,88.0%,96.1%,3.9%
25,Chinese History,,Male,Number,2848,2656,,31,103,267,836,1608,2312,2556,100
26,Chinese History,,Male,Percentage,,,-,1.2%,3.9%,10.1%,31.5%,60.5%,87.0%,96.2%,3.8%
27,Chinese History,,Female,Number,3461,3342,,42,197,472,1308,2343,3018,3254,88
28,Chinese History,,Female,Percentage,,,-,1.3%,5.9%,14.1%,39.1%,70.1%,90.3%,97.4%,2.6%
29,Chinese History,,Total,Number,6309,5998,,73,300,739,2144,3951,5330,5810,188
30,Chinese History,,Total,Percentage,,,-,1.2%,5.0%,12.3%,35.7%,65.9%,88.9%,96.9%,3.1%
31,Chinese Language,,Male,Number,26840,26440,,134,538,1483,5205,11733,20858,25097,1343
32,Chinese Language,,Male,Percentage,,,-,0.5%,2.0%,5.6%,19.7%,44.4%,78.9%,94.9%,5.1%
33,Chinese Language,,Female,Number,26187,25934,,386,1460,3609,10223,17374,23563,25435,499
34,Chinese Language,,Female,Percentage,,,-,1.5%,5.6%,13.9%,39.4%,67.0%,90.9%,98.1%,1.9%
35,Chinese Language,,Total,Number,53027,52374,,520,1998,5092,15428,29107,44421,50532,1842
36,Chinese Language,,Total,Percentage,,,-,1.0%,3.8%,9.7%,29.5%,55.6%,84.8%,96.5%,3.5%
37,Chinese Literature,,Male,Number,421,397,,0,6,25,80,202,322,372,25
38,Chinese Literature,,Male,Percentage,,,-,0.0%,1.5%,6.3%,20.2%,50.9%,81.1%,93.7%,6.3%
39,Chinese Literature,,Female,Number,1344,1321,,23,92,220,523,943,1215,1295,26
