No.,Description,Type,"Day school candidates 
taking at least six 
Category A / B subjects - Male","Day school candidates 
taking at least six 
Category A / B subjects - Female","Day school candidates 
taking at least six 
Category A / B subjects - Total","All candidates 
taking at least six 
Category A / B subjects - Male","All candidates 
taking at least six 
Category A / B subjects - Female","All candidates 
taking at least six 
Category A / B subjects - Total",,,,,,,
1,No. of candidates,Number,19430,20504,39934,20276,21098,41374,,,,,,,
2,Total grade points 10 – 12,Number,3,9,12,3,10,13,,,,,,,
3,Total grade points 10 – 12,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,
4,Total grade points 13 – 15,Number,111,241,352,118,252,370,,,,,,,
5,Total grade points 13 – 15,Percentage,0.6%,1.2%,0.9%,0.6%,1.2%,0.9%,,,,,,,
6,Total grade points 16 – 18,Number,605,1233,1838,628,1264,1892,,,,,,,
7,Total grade points 16 – 18,Percentage,3.1%,6.0%,4.6%,3.1%,6.0%,4.6%,,,,,,,
8,Total grade points 19 – 21,Number,1557,2410,3967,1605,2449,4054,,,,,,,
9,Total grade points 19 – 21,Percentage,8.0%,11.8%,9.9%,7.9%,11.6%,9.8%,,,,,,,
10,Total grade points 22 – 24,Number,2027,2757,4784,2073,2804,4877,,,,,,,
11,Total grade points 22 – 24,Percentage,10.4%,13.4%,12.0%,10.2%,13.3%,11.8%,,,,,,,
12,Total grade points 25 – 27,Number,1519,2097,3616,1558,2121,3679,,,,,,,
13,Total grade points 25 – 27,Percentage,7.8%,10.2%,9.1%,7.7%,10.1%,8.9%,,,,,,,
14,Total grade points 28 – 30,Number,951,1239,2190,973,1262,2235,,,,,,,
15,Total grade points 28 – 30,Percentage,4.9%,6.0%,5.5%,4.8%,6.0%,5.4%,,,,,,,
16,Total grade points 31 – 33,Number,590,755,1345,600,773,1373,,,,,,,
17,Total grade points 31 – 33,Percentage,3.0%,3.7%,3.4%,3.0%,3.7%,3.3%,,,,,,,
18,Total grade points 34 – 36,Number,328,381,709,331,388,719,,,,,,,
19,Total grade points 34 – 36,Percentage,1.7%,1.9%,1.8%,1.6%,1.8%,1.7%,,,,,,,
20,Total grade points 37 – 39,Number,178,178,356,179,182,361,,,,,,,
21,Total grade points 37 – 39,Percentage,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,,,,,,,
22,Total grade points 40 – 42,Number,90,74,164,90,75,165,,,,,,,
23,Total grade points 40 – 42,Percentage,0.5%,0.4%,0.4%,0.4%,0.4%,0.4%,,,,,,,
