No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total,,,,,,,,,,
1,5**,Number,140,254,170,28,6,4,,,602,,,,,,,,,,
2,5**,Percentage,2.1%,3.8%,2.6%,0.4%,0.1%,0.1%,,,9.1%,,,,,,,,,,
3,5*,Number,55,300,596,290,74,11,2,,1328,,,,,,,,,,
4,5*,Percentage,0.8%,4.5%,9.0%,4.4%,1.1%,0.2%,0.0%,,20.1%,,,,,,,,,,
5,5,Number,12,123,538,668,363,95,14,,1813,,,,,,,,,,
6,5,Percentage,0.2%,1.9%,8.1%,10.1%,5.5%,1.4%,0.2%,,27.4%,,,,,,,,,,
7,4,Number,1,15,118,474,802,599,191,44,2244,,,,,,,,,,
8,4,Percentage,0.0%,0.2%,1.8%,7.2%,12.1%,9.1%,2.9%,0.7%,34.0%,,,,,,,,,,
9,3,Number,,,,16,61,174,168,73,492,,,,,,,,,,
10,3,Percentage,,,,0.2%,0.9%,2.6%,2.5%,1.1%,7.4%,,,,,,,,,,
11,2,Number,,,,,1,20,40,64,125,,,,,,,,,,
12,2,Percentage,,,,,0.0%,0.3%,0.6%,1.0%,1.9%,,,,,,,,,,
13,1,Number,,,,,,,,3,3,,,,,,,,,,
14,1,Percentage,,,,,,,,0.0%,0.0%,,,,,,,,,,
15,U,Number,,,,,,,,,,,,,,,,,,,
16,U,Percentage,,,,,,,,,,,,,,,,,,,
17,Total,Number,208,692,1422,1476,1307,903,415,184,6607,,,,,,,,,,
18,Total,Percentage,3.1%,10.5%,21.5%,22.3%,19.8%,13.7%,6.3%,2.8%,100.0%,,,,,,,,,,
