No,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,22178,21949,44127,26065,24744,50809
2,Core subjects at 3322 or better,Number,7664,11000,18664,7861,11182,19043
3,Core subjects at 3322 or better,Percentage,34.6%,50.1%,42.3%,30.2%,45.2%,37.5%
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,7648,10954,18602,7831,11128,18959
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,34.5%,49.9%,42.2%,30.0%,45.0%,37.3%
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,7358,10516,17874,7509,10667,18176
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,33.2%,47.9%,40.5%,28.8%,43.1%,35.8%
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,7437,10422,17859,7614,10580,18194
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,33.5%,47.5%,40.5%,29.2%,42.8%,35.8%
10,"Core subjects at 3322 or better, with two electives at level 3+ # ",Number,6661,8937,15598,6794,9055,15849
11,"Core subjects at 3322 or better, with two electives at level 3+ # ",Percentage,30.0%,40.7%,35.3%,26.1%,36.6%,31.2%
12,"Core subjects at 3332 or better, with one elective at level 3+ # ",Number,7059,9412,16471,7213,9539,16752
13,"Core subjects at 3332 or better, with one elective at level 3+ # ",Percentage,31.8%,42.9%,37.3%,27.7%,38.6%,33.0%
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,6434,8355,14789,6556,8456,15012
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,29.0%,38.1%,33.5%,25.2%,34.2%,29.5%
16,"Core subjects at 3322 or better, with one elective at level 4+ #",Number,6306,8114,14420,6446,8221,14667
17,"Core subjects at 3322 or better, with one elective at level 4+ #",Percentage,28.4%,37.0%,32.7%,24.7%,33.2%,28.9%
18,"Core subjects at 3322 or better, with two electives at level 4+ #",Number,4759,5658,10417,4843,5718,10561
19,"Core subjects at 3322 or better, with two electives at level 4+ #",Percentage,21.5%,25.8%,23.6%,18.6%,23.1%,20.8%
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3556,3797,7353,3623,3838,7461
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,16.0%,17.3%,16.7%,13.9%,15.5%,14.7%
22,"Core subjects at 3322 or better, with two electives at level 5+ ",Number,2162,1926,4088,2195,1945,4140
23,"Core subjects at 3322 or better, with two electives at level 5+ ",Percentage,9.7%,8.8%,9.3%,8.4%,7.9%,8.1%
24,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Number,2707,1701,4408,2758,1720,4478
25,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Percentage,12.2%,7.7%,10.0%,10.6%,7.0%,8.8%
26,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Number,2511,1538,4049,2552,1553,4105
27,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Percentage,11.3%,7.0%,9.2%,9.8%,6.3%,8.1%
28,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Number,2498,1524,4022,2539,1539,4078
29,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Percentage,11.3%,6.9%,9.1%,9.7%,6.2%,8.0%
