No.,Description,Type,"Day school candidates 
taking at least six 
Category A / B subjects - Male","Day school candidates 
taking at least six 
Category A / B subjects - Female","Day school candidates 
taking at least six 
Category A / B subjects - Total","All candidates 
taking at least six 
Category A / B subjects - Male","All candidates 
taking at least six 
Category A / B subjects - Female","All candidates 
taking at least six 
Category A / B subjects - Total"
1,No. of candidates,Number,18548,19540,38088,19282,20101,39383
2,Total grade points 10 – 12,Number,4,10,14,4,10,14
3,Total grade points 10 – 12,Percentage,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
4,Total grade points 13 – 15,Number,120,276,396,123,285,408
5,Total grade points 13 – 15,Percentage,0.6%,1.4%,1.0%,0.6%,1.4%,1.0%
6,Total grade points 16 – 18,Number,673,1269,1942,693,1293,1986
7,Total grade points 16 – 18,Percentage,3.6%,6.5%,5.1%,3.6%,6.4%,5.0%
8,Total grade points 19 – 21,Number,1548,2365,3913,1587,2414,4001
9,Total grade points 19 – 21,Percentage,8.3%,12.1%,10.3%,8.2%,12.0%,10.2%
10,Total grade points 22 – 24,Number,1812,2658,4470,1851,2691,4542
11,Total grade points 22 – 24,Percentage,9.8%,13.6%,11.7%,9.6%,13.4%,11.5%
12,Total grade points 25 – 27,Number,1403,1903,3306,1434,1925,3359
13,Total grade points 25 – 27,Percentage,7.6%,9.7%,8.7%,7.4%,9.6%,8.5%
14,Total grade points 28 – 30,Number,874,1099,1973,885,1112,1997
15,Total grade points 28 – 30,Percentage,4.7%,5.6%,5.2%,4.6%,5.5%,5.1%
16,Total grade points 31 – 33,Number,532,654,1186,539,658,1197
17,Total grade points 31 – 33,Percentage,2.9%,3.3%,3.1%,2.8%,3.3%,3.0%
18,Total grade points 34 – 36,Number,309,323,632,312,326,638
19,Total grade points 34 – 36,Percentage,1.7%,1.7%,1.7%,1.6%,1.6%,1.6%
20,Total grade points 37 – 39,Number,151,187,338,153,188,341
21,Total grade points 37 – 39,Percentage,0.8%,1.0%,0.9%,0.8%,0.9%,0.9%
22,Total grade points 40 – 42,Number,71,59,130,71,59,130
23,Total grade points 40 – 42,Percentage,0.4%,0.3%,0.3%,0.4%,0.3%,0.3%
