No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,80,110,107,110,45,15,,,467
2,5**,Percentage,0.2%,0.3%,0.3%,0.3%,0.1%,0.0%,,,1.1%
3,5*,Number,89,227,329,405,212,49,5,,1316
4,5*,Percentage,0.2%,0.5%,0.8%,1.0%,0.5%,0.1%,0.0%,,3.1%
5,5,Number,76,266,507,1018,608,193,17,2,2687
6,5,Percentage,0.2%,0.6%,1.2%,2.4%,1.4%,0.5%,0.0%,0.0%,6.3%
7,4,Number,125,408,1024,3280,2994,1364,226,21,9442
8,4,Percentage,0.3%,1.0%,2.4%,7.7%,7.0%,3.2%,0.5%,0.0%,22.2%
9,3,Number,46,178,457,2283,3932,3193,767,140,10996
10,3,Percentage,0.1%,0.4%,1.1%,5.4%,9.3%,7.5%,1.8%,0.3%,25.9%
11,2,Number,23,70,143,936,2637,4830,2587,808,12034
12,2,Percentage,0.1%,0.2%,0.3%,2.2%,6.2%,11.4%,6.1%,1.9%,28.3%
13,1,Number,1,5,13,73,291,1089,1542,1298,4312
14,1,Percentage,0.0%,0.0%,0.0%,0.2%,0.7%,2.6%,3.6%,3.1%,10.1%
15,U,Number,,1,6,20,33,114,257,815,1246
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.3%,0.6%,1.9%,2.9%
17,Total,Number,440,1265,2586,8125,10752,10847,5401,3084,42500
18,Total,Percentage,1.0%,3.0%,6.1%,19.1%,25.3%,25.5%,12.7%,7.3%,100.0%
