No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction (II),"Attained with Distinction (I)
or above",Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,13,13,5,10,13,0
2,Applied Science,Animal Care,Male,Percentage,,,38.5%,76.9%,100.0%,0.0%
3,Applied Science,Animal Care,Female,Number,49,38,6,18,35,3
4,Applied Science,Animal Care,Female,Percentage,,,15.8%,47.4%,92.1%,7.9%
5,Applied Science,Animal Care,Total,Number,62,51,11,28,48,3
6,Applied Science,Animal Care,Total,Percentage,,,21.6%,54.9%,94.1%,5.9%
7,Applied Science,Applied Psychology,Male,Number,67,63,6,24,60,3
8,Applied Science,Applied Psychology,Male,Percentage,,,9.5%,38.1%,95.2%,4.8%
9,Applied Science,Applied Psychology,Female,Number,68,65,10,27,63,2
10,Applied Science,Applied Psychology,Female,Percentage,,,15.4%,41.5%,96.9%,3.1%
11,Applied Science,Applied Psychology,Total,Number,135,128,16,51,123,5
12,Applied Science,Applied Psychology,Total,Percentage,,,12.5%,39.8%,96.1%,3.9%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,38,34,2,9,33,1
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,5.9%,26.5%,97.1%,2.9%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,12,12,2,4,12,0
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,16.7%,33.3%,100.0%,0.0%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,50,46,4,13,45,1
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,8.7%,28.3%,97.8%,2.2%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,48,38,7,16,35,3
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,18.4%,42.1%,92.1%,7.9%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,59,52,9,21,49,3
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,17.3%,40.4%,94.2%,5.8%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,107,90,16,37,84,6
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,17.8%,41.1%,93.3%,6.7%
25,Applied Science,Health Care Practice,Male,Number,39,34,1,5,34,0
26,Applied Science,Health Care Practice,Male,Percentage,,,2.9%,14.7%,100.0%,0.0%
27,Applied Science,Health Care Practice,Female,Number,78,74,9,32,74,0
28,Applied Science,Health Care Practice,Female,Percentage,,,12.2%,43.2%,100.0%,0.0%
29,Applied Science,Health Care Practice,Total,Number,117,108,10,37,108,0
30,Applied Science,Health Care Practice,Total,Percentage,,,9.3%,34.3%,100.0%,0.0%
31,Applied Science,Medical Laboratory Science,Male,Number,15,11,6,7,11,0
32,Applied Science,Medical Laboratory Science,Male,Percentage,,,54.5%,63.6%,100.0%,0.0%
33,Applied Science,Medical Laboratory Science,Female,Number,42,42,21,32,39,3
34,Applied Science,Medical Laboratory Science,Female,Percentage,,,50.0%,76.2%,92.9%,7.1%
35,Applied Science,Medical Laboratory Science,Total,Number,57,53,27,39,50,3
36,Applied Science,Medical Laboratory Science,Total,Percentage,,,50.9%,73.6%,94.3%,5.7%
37,Applied Science,Practical Psychology,Male,Number,48,45,5,17,45,0
38,Applied Science,Practical Psychology,Male,Percentage,,,11.1%,37.8%,100.0%,0.0%
39,Applied Science,Practical Psychology,Female,Number,57,56,14,32,56,0
40,Applied Science,Practical Psychology,Female,Percentage,,,25.0%,57.1%,100.0%,0.0%
41,Applied Science,Practical Psychology,Total,Number,105,101,19,49,101,0
42,Applied Science,Practical Psychology,Total,Percentage,,,18.8%,48.5%,100.0%,0.0%
43,Applied Science,Sports and Fitness Coaching,Male,Number,96,63,2,9,57,6
44,Applied Science,Sports and Fitness Coaching,Male,Percentage,,,3.2%,14.3%,90.5%,9.5%
45,Applied Science,Sports and Fitness Coaching,Female,Number,29,17,0,2,14,3
46,Applied Science,Sports and Fitness Coaching,Female,Percentage,,,0.0%,11.8%,82.4%,17.6%
47,Applied Science,Sports and Fitness Coaching,Total,Number,125,80,2,11,71,9
48,Applied Science,Sports and Fitness Coaching,Total,Percentage,,,2.5%,13.8%,88.8%,11.3%
49,"Business, Management and Law",Accounting in Practice,Male,Number,24,20,0,5,13,7
50,"Business, Management and Law",Accounting in Practice,Male,Percentage,,,0.0%,25.0%,65.0%,35.0%
51,"Business, Management and Law",Accounting in Practice,Female,Number,16,16,2,9,15,1
52,"Business, Management and Law",Accounting in Practice,Female,Percentage,,,12.5%,56.3%,93.8%,6.3%
53,"Business, Management and Law",Accounting in Practice,Total,Number,40,36,2,14,28,8
54,"Business, Management and Law",Accounting in Practice,Total,Percentage,,,5.6%,38.9%,77.8%,22.2%
55,"Business, Management and Law",Business Data Analysis,Male,Number,15,13,1,4,11,2
56,"Business, Management and Law",Business Data Analysis,Male,Percentage,,,7.7%,30.8%,84.6%,15.4%
57,"Business, Management and Law",Business Data Analysis,Female,Number,2,2,1,1,2,0
58,"Business, Management and Law",Business Data Analysis,Female,Percentage,,,50.0%,50.0%,100.0%,0.0%
59,"Business, Management and Law",Business Data Analysis,Total,Number,17,15,2,5,13,2
60,"Business, Management and Law",Business Data Analysis,Total,Percentage,,,13.3%,33.3%,86.7%,13.3%
61,"Business, Management and Law",Entrepreneurship for SME,Male,Number,17,16,0,2,15,1
62,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,0.0%,12.5%,93.8%,6.3%
63,"Business, Management and Law",Entrepreneurship for SME,Female,Number,12,12,2,3,12,0
64,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,16.7%,25.0%,100.0%,0.0%
65,"Business, Management and Law",Entrepreneurship for SME,Total,Number,29,28,2,5,27,1
66,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,7.1%,17.9%,96.4%,3.6%
67,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,26,22,3,6,21,1
68,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,13.6%,27.3%,95.5%,4.5%
69,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,23,23,4,9,23,0
70,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,17.4%,39.1%,100.0%,0.0%
71,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,49,45,7,15,44,1
72,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,15.6%,33.3%,97.8%,2.2%
73,"Business, Management and Law",Marketing and Online Promotion,Male,Number,12,10,0,2,10,0
74,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,0.0%,20.0%,100.0%,0.0%
75,"Business, Management and Law",Marketing and Online Promotion,Female,Number,10,10,2,5,9,1
