No.,Subject,Subject_2,Gender,Type,"No.
entered",No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Number,54,53,15,47,6
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Male,Percentage,,,28.3%,88.7%,11.3%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Number,42,42,11,39,3
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Female,Percentage,,,26.2%,92.9%,7.1%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Number,96,95,26,86,9
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese for the Service Industry,Total,Percentage,,,27.4%,90.5%,9.5%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,15,15,3,15,0
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,20.0%,100.0%,0.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,33,33,9,33,0
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,27.3%,100.0%,0.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,48,48,12,48,0
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,25.0%,100.0%,0.0%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Number,23,23,2,19,4
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Male,Percentage,,,8.7%,82.6%,17.4%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Number,18,17,3,12,5
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Female,Percentage,,,17.6%,70.6%,29.4%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Number,41,40,5,31,9
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese in Hospitality,Total,Percentage,,,12.5%,77.5%,22.5%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,92,91,20,81,10
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,22.0%,89.0%,11.0%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,93,92,23,84,8
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,25.0%,91.3%,8.7%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,185,183,43,165,18
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,23.5%,90.2%,9.8%
