No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20550,20533,41083,21768,21428,43196
2,Total grade points 10 – 12,Number,1712,1569,3281,1827,1654,3481
3,Total grade points 10 – 12,Percentage,8.3%,7.6%,8.0%,8.4%,7.7%,8.1%
4,Total grade points 13 – 15,Number,2884,3095,5979,3032,3208,6240
5,Total grade points 13 – 15,Percentage,14.0%,15.1%,14.6%,13.9%,15.0%,14.4%
6,Total grade points 16 – 18,Number,3177,3820,6997,3323,3933,7256
7,Total grade points 16 – 18,Percentage,15.5%,18.6%,17.0%,15.3%,18.4%,16.8%
8,Total grade points 19 – 21,Number,2661,3468,6129,2756,3555,6311
9,Total grade points 19 – 21,Percentage,12.9%,16.9%,14.9%,12.7%,16.6%,14.6%
10,Total grade points 22 – 24,Number,1682,2017,3699,1711,2046,3757
11,Total grade points 22 – 24,Percentage,8.2%,9.8%,9.0%,7.9%,9.5%,8.7%
12,Total grade points 25 – 27,Number,926,1007,1933,948,1020,1968
13,Total grade points 25 – 27,Percentage,4.5%,4.9%,4.7%,4.4%,4.8%,4.6%
14,Total grade points 28 – 30,Number,492,532,1024,499,538,1037
15,Total grade points 28 – 30,Percentage,2.4%,2.6%,2.5%,2.3%,2.5%,2.4%
16,Total grade points 31 – 33,Number,269,270,539,273,272,545
17,Total grade points 31 – 33,Percentage,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%
18,Total grade points 34 – 35,Number,92,69,161,92,69,161
19,Total grade points 34 – 35,Percentage,0.4%,0.3%,0.4%,0.4%,0.3%,0.4%
