No.,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,21147,20881,42028,25576,24400,49976
2,Core subjects at 3322 or better,Number,7517,10350,17867,7708,10537,18245
3,Core subjects at 3322 or better,Percentage,35.5%,49.6%,42.5%,30.1%,43.2%,36.5%
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,7499,10316,17815,7680,10492,18172
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,35.5%,49.4%,42.4%,30.0%,43.0%,36.4%
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,7172,9851,17023,7317,9999,17316
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,33.9%,47.2%,40.5%,28.6%,41.0%,34.6%
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,7286,9850,17136,7457,10011,17468
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,34.5%,47.2%,40.8%,29.2%,41.0%,35.0%
10,"Core subjects at 3322 or better, with two electives at level 3+ #",Number,6503,8490,14993,6629,8613,15242
11,"Core subjects at 3322 or better, with two electives at level 3+ #",Percentage,30.8%,40.7%,35.7%,25.9%,35.3%,30.5%
12,"Core subjects at 3332 or better, with one elective at level 3+ #",Number,6893,8865,15758,7049,9008,16057
13,"Core subjects at 3332 or better, with one elective at level 3+ #",Percentage,32.6%,42.5%,37.5%,27.6%,36.9%,32.1%
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,6276,7911,14187,6393,8021,14414
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,29.7%,37.9%,33.8%,25.0%,32.9%,28.8%
16,"Core subjects at 3322 or better, with one elective at level 4+ #",Number,6268,7834,14102,6404,7947,14351
17,"Core subjects at 3322 or better, with one elective at level 4+ #",Percentage,29.6%,37.5%,33.6%,25.0%,32.6%,28.7%
18,"Core subjects at 3322 or better, with two electives at level 4+ #",Number,4781,5356,10137,4867,5418,10285
19,"Core subjects at 3322 or better, with two electives at level 4+ #",Percentage,22.6%,25.7%,24.1%,19.0%,22.2%,20.6%
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3704,3718,7422,3772,3760,7532
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,17.5%,17.8%,17.7%,14.7%,15.4%,15.1%
22,"Core subjects at 3322 or better, with two electives at level 5+",Number,2206,1875,4081,2245,1889,4134
23,"Core subjects at 3322 or better, with two electives at level 5+",Percentage,10.4%,9.0%,9.7%,8.8%,7.7%,8.3%
24,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Number,2663,1551,4214,2714,1573,4287
25,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Percentage,12.6%,7.4%,10.0%,10.6%,6.4%,8.6%
26,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Number,2452,1384,3836,2494,1402,3896
27,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Percentage,11.6%,6.6%,9.1%,9.8%,5.7%,7.8%
28,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Number,2444,1375,3819,2486,1392,3878
29,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Percentage,11.6%,6.6%,9.1%,9.7%,5.7%,7.8%
