No.,Description,Type,All candidates taking at least five Category A / B subjects (Any five subjects#) - Male,All candidates taking at least five Category A / B subjects (Any five subjects#) - Female,All candidates taking at least five Category A / B subjects (Any five subjects#) - Total,All candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Male,All candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Female,All candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Total
1,No. of candidates,Number,21768,21428,43196,21768,21428,43196
2,Total grade points 12 – 14,Number,262,439,701,315,518,833
3,Total grade points 12 – 14,Percentage,1.2%,2.0%,1.6%,1.4%,2.4%,1.9%
4,Total grade points 15 – 17,Number,1355,2125,3480,1575,2327,3902
5,Total grade points 15 – 17,Percentage,6.2%,9.9%,8.1%,7.2%,10.9%,9.0%
6,Total grade points 18 – 20,Number,2030,3057,5087,2418,3354,5772
7,Total grade points 18 – 20,Percentage,9.3%,14.3%,11.8%,11.1%,15.7%,13.4%
8,Total grade points 21 – 23,Number,1826,2470,4296,1794,2307,4101
9,Total grade points 21 – 23,Percentage,8.4%,11.5%,9.9%,8.2%,10.8%,9.5%
10,Total grade points 24 – 26,Number,1093,1247,2340,949,1150,2099
11,Total grade points 24 – 26,Percentage,5.0%,5.8%,5.4%,4.4%,5.4%,4.9%
12,Total grade points 27 – 29,Number,616,679,1295,421,550,971
13,Total grade points 27 – 29,Percentage,2.8%,3.2%,3.0%,1.9%,2.6%,2.2%
14,Total grade points 30 – 32,Number,345,351,696,156,226,382
15,Total grade points 30 – 32,Percentage,1.6%,1.6%,1.6%,0.7%,1.1%,0.9%
16,Total grade points 33 – 35,Number,153,124,277,52,60,112
17,Total grade points 33 – 35,Percentage,0.7%,0.6%,0.6%,0.2%,0.3%,0.3%
