No.,Description,Type,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Male,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Female,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Total,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Male,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Female,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Total
1,No. of candidates,Number,17934,18701,36635,17934,18701,36635
2,Total grade points 16 – 18,Number,183,298,481,191,306,497
3,Total grade points 16 – 18,Percentage,1.0%,1.6%,1.3%,1.1%,1.6%,1.4%
4,Total grade points 19 – 21,Number,1172,1642,2814,1193,1662,2855
5,Total grade points 19 – 21,Percentage,6.5%,8.8%,7.7%,6.7%,8.9%,7.8%
6,Total grade points 22 – 24,Number,1733,2487,4220,1823,2537,4360
7,Total grade points 22 – 24,Percentage,9.7%,13.3%,11.5%,10.2%,13.6%,11.9%
8,Total grade points 25 – 27,Number,1419,1854,3273,1455,1868,3323
9,Total grade points 25 – 27,Percentage,7.9%,9.9%,8.9%,8.1%,10.0%,9.1%
10,Total grade points 28 – 30,Number,912,1066,1978,906,1051,1957
11,Total grade points 28 – 30,Percentage,5.1%,5.7%,5.4%,5.1%,5.6%,5.3%
12,Total grade points 31 – 33,Number,518,599,1117,509,582,1091
13,Total grade points 31 – 33,Percentage,2.9%,3.2%,3.0%,2.8%,3.1%,3.0%
14,Total grade points 34 – 36,Number,334,312,646,279,306,585
15,Total grade points 34 – 36,Percentage,1.9%,1.7%,1.8%,1.6%,1.6%,1.6%
16,Total grade points 37 – 39,Number,158,173,331,109,137,246
17,Total grade points 37 – 39,Percentage,0.9%,0.9%,0.9%,0.6%,0.7%,0.7%
18,Total grade points 40 – 42,Number,74,59,133,38,41,79
19,Total grade points 40 – 42,Percentage,0.4%,0.3%,0.4%,0.2%,0.2%,0.2%
