No.,Description,Type,All candidates taking at least six Category A / B subjects (Any six subjects#) - Male,All candidates taking at least six Category A / B subjects (Any six subjects#) - Female,All candidates taking at least six Category A / B subjects (Any six subjects#) - Total,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Male,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Female,All candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Total
1,No. of candidates,Number,18771,19351,38122,18771,19351,38122
2,Total grade points 16 – 18,Number,191,307,498,199,315,514
3,Total grade points 16 – 18,Percentage,1.0%,1.6%,1.3%,1.1%,1.6%,1.3%
4,Total grade points 19 – 21,Number,1199,1671,2870,1221,1691,2912
5,Total grade points 19 – 21,Percentage,6.4%,8.6%,7.5%,6.5%,8.7%,7.6%
6,Total grade points 22 – 24,Number,1771,2527,4298,1860,2577,4437
7,Total grade points 22 – 24,Percentage,9.4%,13.1%,11.3%,9.9%,13.3%,11.6%
8,Total grade points 25 – 27,Number,1440,1875,3315,1476,1891,3367
9,Total grade points 25 – 27,Percentage,7.7%,9.7%,8.7%,7.9%,9.8%,8.8%
10,Total grade points 28 – 30,Number,932,1080,2012,927,1063,1990
11,Total grade points 28 – 30,Percentage,5.0%,5.6%,5.3%,4.9%,5.5%,5.2%
12,Total grade points 31 – 33,Number,524,605,1129,516,589,1105
13,Total grade points 31 – 33,Percentage,2.8%,3.1%,3.0%,2.7%,3.0%,2.9%
14,Total grade points 34 – 36,Number,339,316,655,282,309,591
15,Total grade points 34 – 36,Percentage,1.8%,1.6%,1.7%,1.5%,1.6%,1.6%
16,Total grade points 37 – 39,Number,159,173,332,110,137,247
17,Total grade points 37 – 39,Percentage,0.8%,0.9%,0.9%,0.6%,0.7%,0.6%
18,Total grade points 40 – 42,Number,74,59,133,38,41,79
19,Total grade points 40 – 42,Percentage,0.4%,0.3%,0.3%,0.2%,0.2%,0.2%
