No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,73,104,94,118,45,9,1,,444
2,5**,Percentage,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,0.0%,,1.0%
3,5*,Number,90,214,295,394,241,67,4,,1305
4,5*,Percentage,0.2%,0.5%,0.7%,0.9%,0.6%,0.2%,0.0%,,3.0%
5,5,Number,81,232,474,1009,682,203,16,,2697
6,5,Percentage,0.2%,0.5%,1.1%,2.3%,1.6%,0.5%,0.0%,,6.2%
7,4,Number,113,390,893,2843,3296,1571,207,28,9341
8,4,Percentage,0.3%,0.9%,2.1%,6.6%,7.6%,3.6%,0.5%,0.1%,21.6%
9,3,Number,30,181,436,2004,4327,3601,915,158,11652
10,3,Percentage,0.1%,0.4%,1.0%,4.6%,10.0%,8.3%,2.1%,0.4%,26.9%
11,2,Number,6,45,142,774,2648,5234,2790,1037,12676
12,2,Percentage,0.0%,0.1%,0.3%,1.8%,6.1%,12.1%,6.4%,2.4%,29.3%
13,1,Number,,4,15,75,256,950,1403,1375,4078
14,1,Percentage,,0.0%,0.0%,0.2%,0.6%,2.2%,3.2%,3.2%,9.4%
15,U,Number,,,1,16,25,89,187,775,1093
16,U,Percentage,,,0.0%,0.0%,0.1%,0.2%,0.4%,1.8%,2.5%
17,Total,Number,393,1170,2350,7233,11520,11724,5523,3373,43286
18,Total,Percentage,0.9%,2.7%,5.4%,16.7%,26.6%,27.1%,12.8%,7.8%,100.0%
