No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,10,8,0,3,6,2
2,Applied Science,Animal Care,Male,Percentage,,,0.0%,37.5%,75.0%,25.0%
3,Applied Science,Animal Care,Female,Number,35,30,4,15,26,4
4,Applied Science,Animal Care,Female,Percentage,,,13.3%,50.0%,86.7%,13.3%
5,Applied Science,Animal Care,Total,Number,45,38,4,18,32,6
6,Applied Science,Animal Care,Total,Percentage,,,10.5%,47.4%,84.2%,15.8%
7,Applied Science,Applied Psychology,Male,Number,45,40,1,6,38,2
8,Applied Science,Applied Psychology,Male,Percentage,,,2.5%,15.0%,95.0%,5.0%
9,Applied Science,Applied Psychology,Female,Number,71,67,9,30,65,2
10,Applied Science,Applied Psychology,Female,Percentage,,,13.4%,44.8%,97.0%,3.0%
11,Applied Science,Applied Psychology,Total,Number,116,107,10,36,103,4
12,Applied Science,Applied Psychology,Total,Percentage,,,9.3%,33.6%,96.3%,3.7%
13,Applied Science,Exercise Science and Health Fitness,Male,Number,70,46,3,12,41,5
14,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,6.5%,26.1%,89.1%,10.9%
15,Applied Science,Exercise Science and Health Fitness,Female,Number,15,14,1,7,13,1
16,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,7.1%,50.0%,92.9%,7.1%
17,Applied Science,Exercise Science and Health Fitness,Total,Number,85,60,4,19,54,6
18,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,6.7%,31.7%,90.0%,10.0%
19,Applied Science,Foundation in Chinese Medicine,Male,Number,41,41,6,17,38,3
20,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,14.6%,41.5%,92.7%,7.3%
21,Applied Science,Foundation in Chinese Medicine,Female,Number,42,42,11,23,40,2
22,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,26.2%,54.8%,95.2%,4.8%
23,Applied Science,Foundation in Chinese Medicine,Total,Number,83,83,17,40,78,5
24,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,20.5%,48.2%,94.0%,6.0%
25,Applied Science,Health Care Practice,Male,Number,41,40,3,11,36,4
26,Applied Science,Health Care Practice,Male,Percentage,,,7.5%,27.5%,90.0%,10.0%
27,Applied Science,Health Care Practice,Female,Number,109,102,8,37,95,7
28,Applied Science,Health Care Practice,Female,Percentage,,,7.8%,36.3%,93.1%,6.9%
