No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20298,19990,40288,21387,20788,42175
2,Five level 5**,Number,41,20,61,41,20,61
3,Five level 5**,Percentage,0.2%,0.1%,0.2%,0.2%,0.1%,0.1%
4,Five level 5* or above,Number,303,259,562,303,259,562
5,Five level 5* or above,Percentage,1.5%,1.3%,1.4%,1.4%,1.2%,1.3%
6,Five level 5 or above,Number,1083,1075,2158,1090,1086,2176
7,Five level 5 or above,Percentage,5.3%,5.4%,5.4%,5.1%,5.2%,5.2%
8,Five level 4 or above,Number,3884,4740,8624,3954,4800,8754
9,Five level 4 or above,Percentage,19.1%,23.7%,21.4%,18.5%,23.1%,20.8%
10,Five level 3 or above,Number,8626,10192,18818,8874,10381,19255
11,Five level 3 or above,Percentage,42.5%,51.0%,46.7%,41.5%,49.9%,45.7%
12,Five level 2 or above,Number,14928,16089,31017,15507,16501,32008
13,Five level 2 or above,Percentage,73.5%,80.5%,77.0%,72.5%,79.4%,75.9%
14,Five level 1 or above,Number,18197,18629,36826,19045,19258,38303
15,Five level 1 or above,Percentage,89.6%,93.2%,91.4%,89.0%,92.6%,90.8%
16,Four level 1 or above,Number,19190,19337,38527,20116,20032,40148
17,Four level 1 or above,Percentage,94.5%,96.7%,95.6%,94.1%,96.4%,95.2%
18,Three level 1 or above,Number,19685,19687,39372,20660,20419,41079
19,Three level 1 or above,Percentage,97.0%,98.5%,97.7%,96.6%,98.2%,97.4%
20,Two level 1 or above,Number,19999,19852,39851,21018,20617,41635
21,Two level 1 or above,Percentage,98.5%,99.3%,98.9%,98.3%,99.2%,98.7%
22,One level 1 or above,Number,20201,19939,40140,21254,20720,41974
23,One level 1 or above,Percentage,99.5%,99.7%,99.6%,99.4%,99.7%,99.5%
