No.,Description,Type,Day school candidates taking at least five Category A / B subjects - Male,Day school candidates taking at least five Category A / B subjects - Female,Day school candidates taking at least five Category A / B subjects - Total,All candidates taking at least five Category A / B subjects - Male,All candidates taking at least five Category A / B subjects - Female,All candidates taking at least five Category A / B subjects - Total
1,No. of candidates,Number,20298,19990,40288,21387,20788,42175
2,Total grade points 10 – 12,Number,29,52,81,30,54,84
3,Total grade points 10 – 12,Percentage,0.1%,0.3%,0.2%,0.1%,0.3%,0.2%
4,Total grade points 13 – 15,Number,532,867,1399,548,886,1434
5,Total grade points 13 – 15,Percentage,2.6%,4.3%,3.5%,2.6%,4.3%,3.4%
6,Total grade points 16 – 18,Number,1736,2417,4153,1799,2474,4273
7,Total grade points 16 – 18,Percentage,8.6%,12.1%,10.3%,8.4%,11.9%,10.1%
8,Total grade points 19 – 21,Number,2044,2863,4907,2085,2901,4986
9,Total grade points 19 – 21,Percentage,10.1%,14.3%,12.2%,9.7%,14.0%,11.8%
10,Total grade points 22 – 24,Number,1405,1831,3236,1431,1853,3284
11,Total grade points 22 – 24,Percentage,6.9%,9.2%,8.0%,6.7%,8.9%,7.8%
12,Total grade points 25 – 27,Number,874,993,1867,887,1011,1898
13,Total grade points 25 – 27,Percentage,4.3%,5.0%,4.6%,4.1%,4.9%,4.5%
14,Total grade points 28 – 30,Number,562,540,1102,564,546,1110
15,Total grade points 28 – 30,Percentage,2.8%,2.7%,2.7%,2.6%,2.6%,2.6%
16,Total grade points 31 – 33,Number,267,231,498,268,231,499
17,Total grade points 31 – 33,Percentage,1.3%,1.2%,1.2%,1.3%,1.1%,1.2%
18,Total grade points 34 – 35,Number,89,45,134,89,45,134
19,Total grade points 34 – 35,Percentage,0.4%,0.2%,0.3%,0.4%,0.2%,0.3%
