No.,Description,Type,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Male,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Female,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Total,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Male,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Female,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Total
1,No. of candidates,Number,20298,19990,40288,20298,19990,40288
2,Total grade points 12 – 14,Number,256,451,707,304,502,806
3,Total grade points 12 – 14,Percentage,1.3%,2.3%,1.8%,1.5%,2.5%,2.0%
4,Total grade points 15 – 17,Number,1344,1919,3263,1579,2147,3726
5,Total grade points 15 – 17,Percentage,6.6%,9.6%,8.1%,7.8%,10.7%,9.2%
6,Total grade points 18 – 20,Number,2092,2857,4949,2392,3132,5524
7,Total grade points 18 – 20,Percentage,10.3%,14.3%,12.3%,11.8%,15.7%,13.7%
8,Total grade points 21 – 23,Number,1659,2277,3936,1651,2138,3789
9,Total grade points 21 – 23,Percentage,8.2%,11.4%,9.8%,8.1%,10.7%,9.4%
10,Total grade points 24 – 26,Number,1018,1225,2243,952,1105,2057
11,Total grade points 24 – 26,Percentage,5.0%,6.1%,5.6%,4.7%,5.5%,5.1%
12,Total grade points 27 – 29,Number,640,644,1284,438,534,972
13,Total grade points 27 – 29,Percentage,3.2%,3.2%,3.2%,2.2%,2.7%,2.4%
14,Total grade points 30 – 32,Number,353,337,690,158,197,355
15,Total grade points 30 – 32,Percentage,1.7%,1.7%,1.7%,0.8%,1.0%,0.9%
16,Total grade points 33 – 35,Number,158,89,247,46,44,90
17,Total grade points 33 – 35,Percentage,0.8%,0.4%,0.6%,0.2%,0.2%,0.2%
