No.,Description,Type,Day school candidates taking at least six Category A / B subjects - Male,Day school candidates taking at least six Category A / B subjects - Female,Day school candidates taking at least six Category A / B subjects - Total,All candidates taking at least six Category A / B subjects - Male,All candidates taking at least six Category A / B subjects - Female,All candidates taking at least six Category A / B subjects - Total
1,No. of candidates,Number,17771,18181,35952,18521,18762,37283
2,Total grade points 10 – 12,Number,7,12,19,7,12,19
3,Total grade points 10 – 12,Percentage,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%
4,Total grade points 13 – 15,Number,131,226,357,132,232,364
5,Total grade points 13 – 15,Percentage,0.7%,1.2%,1.0%,0.7%,1.2%,1.0%
6,Total grade points 16 – 18,Number,651,1032,1683,668,1055,1723
7,Total grade points 16 – 18,Percentage,3.7%,5.7%,4.7%,3.6%,5.6%,4.6%
8,Total grade points 19 – 21,Number,1486,2108,3594,1531,2147,3678
9,Total grade points 19 – 21,Percentage,8.4%,11.6%,10.0%,8.3%,11.4%,9.9%
10,Total grade points 22 – 24,Number,1752,2395,4147,1786,2421,4207
11,Total grade points 22 – 24,Percentage,9.9%,13.2%,11.5%,9.6%,12.9%,11.3%
12,Total grade points 25 – 27,Number,1310,1753,3063,1333,1775,3108
13,Total grade points 25 – 27,Percentage,7.4%,9.6%,8.5%,7.2%,9.5%,8.3%
14,Total grade points 28 – 30,Number,881,1020,1901,893,1038,1931
15,Total grade points 28 – 30,Percentage,5.0%,5.6%,5.3%,4.8%,5.5%,5.2%
16,Total grade points 31 – 33,Number,558,574,1132,563,580,1143
17,Total grade points 31 – 33,Percentage,3.1%,3.2%,3.1%,3.0%,3.1%,3.1%
18,Total grade points 34 – 36,Number,337,336,673,339,337,676
19,Total grade points 34 – 36,Percentage,1.9%,1.8%,1.9%,1.8%,1.8%,1.8%
20,Total grade points 37 – 39,Number,173,140,313,173,140,313
21,Total grade points 37 – 39,Percentage,1.0%,0.8%,0.9%,0.9%,0.7%,0.8%
22,Total grade points 40 – 42,Number,66,38,104,66,38,104
23,Total grade points 40 – 42,Percentage,0.4%,0.2%,0.3%,0.4%,0.2%,0.3%
