No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,180,210,138,35,4,,,1,568
2,5**,Percentage,2.7%,3.1%,2.1%,0.5%,0.1%,,,0.0%,8.5%
3,5*,Number,74,365,551,286,78,13,3,1,1371
4,5*,Percentage,1.1%,5.5%,8.2%,4.3%,1.2%,0.2%,0.0%,0.0%,20.5%
5,5,Number,9,101,490,695,361,91,17,1,1765
6,5,Percentage,0.1%,1.5%,7.3%,10.4%,5.4%,1.4%,0.3%,0.0%,26.4%
7,4,Number,1,11,118,503,849,635,175,34,2326
8,4,Percentage,0.0%,0.2%,1.8%,7.5%,12.7%,9.5%,2.6%,0.5%,34.8%
9,3,Number,,,1,1,47,191,189,71,500
10,3,Percentage,,,0.0%,0.0%,0.7%,2.9%,2.8%,1.1%,7.5%
11,2,Number,,,,,1,6,39,90,136
12,2,Percentage,,,,,0.0%,0.1%,0.6%,1.3%,2.0%
13,1,Number,,,,,,,,15,15
14,1,Percentage,,,,,,,,0.2%,0.2%
15,U,Number,,,,,,,,3,3
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,264,687,1298,1520,1340,936,423,216,6684
18,Total,Percentage,3.9%,10.3%,19.4%,22.7%,20.0%,14.0%,6.3%,3.2%,100.0%
