No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,6,0.0,5,0.0,11,0.0,6,0.0,5,0.0,11,0.0
3,6,9,0.0,3,0.0,12,0.0,9,0.0,3,0.0,12,0.0
4,5,26,0.1,12,0.1,38,0.1,26,0.1,12,0.1,38,0.1
5,4,53,0.3,28,0.1,81,0.2,53,0.3,28,0.1,81,0.2
6,3,108,0.5,65,0.3,173,0.4,103,0.5,62,0.3,165,0.4
7,2,197,0.9,205,1.0,402,1.0,191,0.9,192,0.9,383,0.9
8,1,856,4.1,1069,5.2,1925,4.7,670,3.2,700,3.4,1370,3.3
9,0,19566,94.0,18988,93.2,38554,93.6,19697,94.9,19319,95.1,39016,95.0
10,Total,20821,100.0,20375,100.0,41196,100.0,20755,100.0,20321,100.0,41076,100.0
