No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,6,0.0,5,0.0,11,0.0,6,0.0,5,0.0,11,0.0
3,6,9,0.0,3,0.0,12,0.0,9,0.0,3,0.0,12,0.0
4,5,26,0.1,12,0.1,38,0.1,26,0.1,12,0.1,38,0.1
5,4,53,0.2,28,0.1,81,0.2,53,0.2,28,0.1,81,0.2
6,3,109,0.4,65,0.3,174,0.4,104,0.4,62,0.3,166,0.3
7,2,214,0.9,212,0.9,426,0.9,208,0.8,197,0.9,405,0.8
8,1,1094,4.4,1138,4.9,2232,4.7,901,3.7,760,3.3,1661,3.5
9,0,23155,93.9,21762,93.7,44917,93.8,23268,94.7,22095,95.4,45363,95.0
10,Total,24666,100.0,23225,100.0,47891,100.0,24575,100.0,23162,100.0,47737,100.0
