No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5201,5051,,156,506,1136,2387,3673,4627,4908,143
2,Biology,,Male,Percentage,,,39.1,3.1%,10.0%,22.5%,47.3%,72.7%,91.6%,97.2%,2.8%
3,Biology,,Female,Number,6662,6492,,100,433,1212,2856,4561,5827,6261,231
4,Biology,,Female,Percentage,,,35.4,1.5%,6.7%,18.7%,44.0%,70.3%,89.8%,96.4%,3.6%
5,Biology,,Total,Number,11863,11543,,256,939,2348,5243,8234,10454,11169,374
6,Biology,,Total,Percentage,,,37,2.2%,8.1%,20.3%,45.4%,71.3%,90.6%,96.8%,3.2%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,2733,2579,,51,166,377,1103,1717,2347,2509,70
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,41.1,2.0%,6.4%,14.6%,42.8%,66.6%,91.0%,97.3%,2.7%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3490,3366,,32,169,498,1502,2356,3116,3312,54
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,28.3,1.0%,5.0%,14.8%,44.6%,70.0%,92.6%,98.4%,1.6%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6223,5945,,83,335,875,2605,4073,5463,5821,124
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,33.9,1.4%,5.6%,14.7%,43.8%,68.5%,91.9%,97.9%,2.1%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1168,1108,,6,33,74,306,629,975,1068,40
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,73.9,0.5%,3.0%,6.7%,27.6%,56.8%,88.0%,96.4%,3.6%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1286,1252,,12,47,120,447,799,1148,1228,24
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,73.1,1.0%,3.8%,9.6%,35.7%,63.8%,91.7%,98.1%,1.9%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2454,2360,,18,80,194,753,1428,2123,2296,64
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,73.5,0.8%,3.4%,8.2%,31.9%,60.5%,90.0%,97.3%,2.7%
19,Chemistry,,Male,Number,6124,5863,,195,693,1693,3153,4484,5164,5621,242
20,Chemistry,,Male,Percentage,,,25.6,3.3%,11.8%,28.9%,53.8%,76.5%,88.1%,95.9%,4.1%
21,Chemistry,,Female,Number,4828,4656,,91,414,1149,2362,3512,4089,4457,199
22,Chemistry,,Female,Percentage,,,19.4,2.0%,8.9%,24.7%,50.7%,75.4%,87.8%,95.7%,4.3%
23,Chemistry,,Total,Number,10952,10519,,286,1107,2842,5515,7996,9253,10078,441
24,Chemistry,,Total,Percentage,,,22.8,2.7%,10.5%,27.0%,52.4%,76.0%,88.0%,95.8%,4.2%
25,Chinese History,,Male,Number,2363,2243,,23,100,228,709,1323,1926,2146,97
26,Chinese History,,Male,Percentage,,,-,1.0%,4.5%,10.2%,31.6%,59.0%,85.9%,95.7%,4.3%
27,Chinese History,,Female,Number,3204,3098,,52,179,464,1324,2195,2872,3033,65
28,Chinese History,,Female,Percentage,,,-,1.7%,5.8%,15.0%,42.7%,70.9%,92.7%,97.9%,2.1%
29,Chinese History,,Total,Number,5567,5341,,75,279,692,2033,3518,4798,5179,162
30,Chinese History,,Total,Percentage,,,-,1.4%,5.2%,13.0%,38.1%,65.9%,89.8%,97.0%,3.0%
31,Chinese Language,,Male,Number,20429,20122,,84,382,1056,4491,9961,16662,19353,769
32,Chinese Language,,Male,Percentage,,,-,0.4%,1.9%,5.2%,22.3%,49.5%,82.8%,96.2%,3.8%
33,Chinese Language,,Female,Number,19930,19697,,304,1175,2811,8214,13857,18314,19441,256
34,Chinese Language,,Female,Percentage,,,-,1.5%,6.0%,14.3%,41.7%,70.4%,93.0%,98.7%,1.3%
35,Chinese Language,,Total,Number,40359,39819,,388,1557,3867,12705,23818,34976,38794,1025
36,Chinese Language,,Total,Percentage,,,-,1.0%,3.9%,9.7%,31.9%,59.8%,87.8%,97.4%,2.6%
37,Chinese Literature,,Male,Number,237,219,,2,8,12,45,117,188,207,12
38,Chinese Literature,,Male,Percentage,,,-,0.9%,3.7%,5.5%,20.5%,53.4%,85.8%,94.5%,5.5%
39,Chinese Literature,,Female,Number,948,928,,13,56,144,369,639,837,907,21
40,Chinese Literature,,Female,Percentage,,,-,1.4%,6.0%,15.5%,39.8%,68.9%,90.2%,97.7%,2.3%
41,Chinese Literature,,Total,Number,1185,1147,,15,64,156,414,756,1025,1114,33
42,Chinese Literature,,Total,Percentage,,,-,1.3%,5.6%,13.6%,36.1%,65.9%,89.4%,97.1%,2.9%
43,Design and Applied Technology,,Male,Number,284,259,,2,5,7,35,68,169,225,34
44,Design and Applied Technology,,Male,Percentage,,,95.8,0.8%,1.9%,2.7%,13.5%,26.3%,65.3%,86.9%,13.1%
45,Design and Applied Technology,,Female,Number,150,133,,0,3,7,26,43,97,122,11
46,Design and Applied Technology,,Female,Percentage,,,95.5,0.0%,2.3%,5.3%,19.5%,32.3%,72.9%,91.7%,8.3%
47,Design and Applied Technology,,Total,Number,434,392,,2,8,14,61,111,266,347,45
