No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5721,5416,,169,544,1212,2549,3932,4948,5252,164
2,Biology,,Male,Percentage,,,39.8,3.1%,10.0%,22.4%,47.1%,72.6%,91.4%,97.0%,3.0%
3,Biology,,Female,Number,7191,6881,,106,456,1266,2975,4778,6142,6630,251
4,Biology,,Female,Percentage,,,36.5,1.5%,6.6%,18.4%,43.2%,69.4%,89.3%,96.4%,3.6%
5,Biology,,Total,Number,12912,12297,,275,1000,2478,5524,8710,11090,11882,415
6,Biology,,Total,Percentage,,,38,2.2%,8.1%,20.2%,44.9%,70.8%,90.2%,96.6%,3.4%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3012,2778,,60,189,424,1198,1844,2519,2698,80
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,41.6,2.2%,6.8%,15.3%,43.1%,66.4%,90.7%,97.1%,2.9%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3713,3514,,34,181,520,1559,2438,3233,3452,62
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,29.3,1.0%,5.2%,14.8%,44.4%,69.4%,92.0%,98.2%,1.8%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6725,6292,,94,370,944,2757,4282,5752,6150,142
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,34.8,1.5%,5.9%,15.0%,43.8%,68.1%,91.4%,97.7%,2.3%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1286,1195,,7,36,78,321,658,1037,1147,48
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,73.9,0.6%,3.0%,6.5%,26.9%,55.1%,86.8%,96.0%,4.0%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1370,1313,,12,47,121,455,823,1192,1284,29
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,73.3,0.9%,3.6%,9.2%,34.7%,62.7%,90.8%,97.8%,2.2%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2656,2508,,19,83,199,776,1481,2229,2431,77
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,73.6,0.8%,3.3%,7.9%,30.9%,59.1%,88.9%,96.9%,3.1%
19,Chemistry,,Male,Number,6789,6326,,219,758,1845,3416,4841,5573,6058,268
20,Chemistry,,Male,Percentage,,,26.6,3.5%,12.0%,29.2%,54.0%,76.5%,88.1%,95.8%,4.2%
21,Chemistry,,Female,Number,5193,4909,,92,434,1190,2458,3662,4285,4686,223
22,Chemistry,,Female,Percentage,,,20.8,1.9%,8.8%,24.2%,50.1%,74.6%,87.3%,95.5%,4.5%
23,Chemistry,,Total,Number,11982,11235,,311,1192,3035,5874,8503,9858,10744,491
24,Chemistry,,Total,Percentage,,,24.1,2.8%,10.6%,27.0%,52.3%,75.7%,87.7%,95.6%,4.4%
25,Chinese History,,Male,Number,2626,2420,,26,109,250,766,1416,2070,2317,103
26,Chinese History,,Male,Percentage,,,-,1.1%,4.5%,10.3%,31.7%,58.5%,85.5%,95.7%,4.3%
27,Chinese History,,Female,Number,3445,3275,,53,188,487,1379,2286,2999,3188,87
28,Chinese History,,Female,Percentage,,,-,1.6%,5.7%,14.9%,42.1%,69.8%,91.6%,97.3%,2.7%
29,Chinese History,,Total,Number,6071,5695,,79,297,737,2145,3702,5069,5505,190
30,Chinese History,,Total,Percentage,,,-,1.4%,5.2%,12.9%,37.7%,65.0%,89.0%,96.7%,3.3%
31,Chinese Language,,Male,Number,22801,21960,,100,417,1139,4770,10651,18045,21036,924
32,Chinese Language,,Male,Percentage,,,-,0.5%,1.9%,5.2%,21.7%,48.5%,82.2%,95.8%,4.2%
33,Chinese Language,,Female,Number,21683,21054,,335,1255,2980,8628,14576,19417,20723,331
34,Chinese Language,,Female,Percentage,,,-,1.6%,6.0%,14.2%,41.0%,69.2%,92.2%,98.4%,1.6%
35,Chinese Language,,Total,Number,44484,43014,,435,1672,4119,13398,25227,37462,41759,1255
36,Chinese Language,,Total,Percentage,,,-,1.0%,3.9%,9.6%,31.1%,58.6%,87.1%,97.1%,2.9%
37,Chinese Literature,,Male,Number,280,246,,2,9,14,52,127,206,231,15
38,Chinese Literature,,Male,Percentage,,,-,0.8%,3.7%,5.7%,21.1%,51.6%,83.7%,93.9%,6.1%
39,Chinese Literature,,Female,Number,1031,984,,14,63,156,392,678,886,962,22
40,Chinese Literature,,Female,Percentage,,,-,1.4%,6.4%,15.9%,39.8%,68.9%,90.0%,97.8%,2.2%
41,Chinese Literature,,Total,Number,1311,1230,,16,72,170,444,805,1092,1193,37
42,Chinese Literature,,Total,Percentage,,,-,1.3%,5.9%,13.8%,36.1%,65.4%,88.8%,97.0%,3.0%
43,Design and Applied Technology,,Male,Number,295,267,,2,5,7,36,69,172,231,36
44,Design and Applied Technology,,Male,Percentage,,,95.5,0.7%,1.9%,2.6%,13.5%,25.8%,64.4%,86.5%,13.5%
45,Design and Applied Technology,,Female,Number,156,138,,0,3,7,26,43,97,125,13
46,Design and Applied Technology,,Female,Percentage,,,95.7,0.0%,2.2%,5.1%,18.8%,31.2%,70.3%,90.6%,9.4%
47,Design and Applied Technology,,Total,Number,451,405,,2,8,14,62,112,269,356,49
48,Design and Applied Technology,,Total,Percentage,,,95.6,0.5%,2.0%,3.5%,15.3%,27.7%,66.4%,87.9%,12.1%
49,Economics,,Male,Number,5749,5375,,151,451,1000,2420,3513,4532,5027,348
50,Economics,,Male,Percentage,,,45.7,2.8%,8.4%,18.6%,45.0%,65.4%,84.3%,93.5%,6.5%
51,Economics,,Female,Number,6078,5789,,73,340,913,2636,3899,5015,5548,241
52,Economics,,Female,Percentage,,,37,1.3%,5.9%,15.8%,45.5%,67.4%,86.6%,95.8%,4.2%
53,Economics,,Total,Number,11827,11164,,224,791,1913,5056,7412,9547,10575,589
54,Economics,,Total,Percentage,,,41.2,2.0%,7.1%,17.1%,45.3%,66.4%,85.5%,94.7%,5.3%
55,English Language,,Male,Number,23736,22890,,210,886,2170,5611,11215,17173,20535,2355
56,English Language,,Male,Percentage,,,-,0.9%,3.9%,9.5%,24.5%,49.0%,75.0%,89.7%,10.3%
57,English Language,,Female,Number,22849,22172,,249,961,2365,6223,12210,18193,20924,1248
58,English Language,,Female,Percentage,,,-,1.1%,4.3%,10.7%,28.1%,55.1%,82.1%,94.4%,5.6%
59,English Language,,Total,Number,46585,45062,,459,1847,4535,11834,23425,35366,41459,3603
60,English Language,,Total,Percentage,,,-,1.0%,4.1%,10.1%,26.3%,52.0%,78.5%,92.0%,8.0%
61,Ethics and Religious Studies,,Male,Number,341,303,,5,13,21,56,157,252,276,27
62,Ethics and Religious Studies,,Male,Percentage,,,94.7,1.7%,4.3%,6.9%,18.5%,51.8%,83.2%,91.1%,8.9%
63,Ethics and Religious Studies,,Female,Number,444,412,,2,12,42,163,305,380,400,12
64,Ethics and Religious Studies,,Female,Percentage,,,95.1,0.5%,2.9%,10.2%,39.6%,74.0%,92.2%,97.1%,2.9%
65,Ethics and Religious Studies,,Total,Number,785,715,,7,25,63,219,462,632,676,39
66,Ethics and Religious Studies,,Total,Percentage,,,95,1.0%,3.5%,8.8%,30.6%,64.6%,88.4%,94.5%,5.5%
67,Geography,,Male,Number,3724,3513,,38,138,364,1176,2082,3021,3386,127
68,Geography,,Male,Percentage,,,62.2,1.1%,3.9%,10.4%,33.5%,59.3%,86.0%,96.4%,3.6%
69,Geography,,Female,Number,4218,4054,,57,244,602,1651,2658,3616,3945,109
70,Geography,,Female,Percentage,,,48.6,1.4%,6.0%,14.8%,40.7%,65.6%,89.2%,97.3%,2.7%
71,Geography,,Total,Number,7942,7567,,95,382,966,2827,4740,6637,7331,236
72,Geography,,Total,Percentage,,,54.9,1.3%,5.0%,12.8%,37.4%,62.6%,87.7%,96.9%,3.1%
73,Health Management and Social Care,,Male,Number,318,283,,2,6,10,35,96,200,243,40
74,Health Management and Social Care,,Male,Percentage,,,91.5,0.7%,2.1%,3.5%,12.4%,33.9%,70.7%,85.9%,14.1%
75,Health Management and Social Care,,Female,Number,586,552,,5,15,33,102,236,424,509,43
76,Health Management and Social Care,,Female,Percentage,,,89.3,0.9%,2.7%,6.0%,18.5%,42.8%,76.8%,92.2%,7.8%
77,Health Management and Social Care,,Total,Number,904,835,,7,21,43,137,332,624,752,83
78,Health Management and Social Care,,Total,Percentage,,,90.1,0.8%,2.5%,5.1%,16.4%,39.8%,74.7%,90.1%,9.9%
79,History,,Male,Number,2288,2140,,32,114,265,932,1552,1990,2110,30
80,History,,Male,Percentage,,,64.4,1.5%,5.3%,12.4%,43.6%,72.5%,93.0%,98.6%,1.4%
81,History,,Female,Number,2592,2491,,28,161,393,1218,1913,2334,2459,32
82,History,,Female,Percentage,,,52.6,1.1%,6.5%,15.8%,48.9%,76.8%,93.7%,98.7%,1.3%
83,History,,Total,Number,4880,4631,,60,275,658,2150,3465,4324,4569,62
84,History,,Total,Percentage,,,58.1,1.3%,5.9%,14.2%,46.4%,74.8%,93.4%,98.7%,1.3%
85,Information and Communication Technology,,Male,Number,4193,3939,,52,190,460,1201,2156,3204,3694,245
86,Information and Communication Technology,,Male,Percentage,,,58.7,1.3%,4.8%,11.7%,30.5%,54.7%,81.3%,93.8%,6.2%
87,Information and Communication Technology,,Female,Number,1288,1223,,9,30,90,281,578,959,1125,98
88,Information and Communication Technology,,Female,Percentage,,,43.2,0.7%,2.5%,7.4%,23.0%,47.3%,78.4%,92.0%,8.0%
89,Information and Communication Technology,,Total,Number,5481,5162,,61,220,550,1482,2734,4163,4819,343
90,Information and Communication Technology,,Total,Percentage,,,55,1.2%,4.3%,10.7%,28.7%,53.0%,80.6%,93.4%,6.6%
91,Liberal Studies,,Male,Number,22682,21864,,110,499,1359,6154,13019,18752,21176,688
92,Liberal Studies,,Male,Percentage,,,86.3,0.5%,2.3%,6.2%,28.1%,59.5%,85.8%,96.9%,3.1%
93,Liberal Studies,,Female,Number,21745,21137,,268,1097,2707,9215,15644,19541,20857,280
94,Liberal Studies,,Female,Percentage,,,80.4,1.3%,5.2%,12.8%,43.6%,74.0%,92.4%,98.7%,1.3%
95,Liberal Studies,,Total,Number,44427,43001,,378,1596,4066,15369,28663,38293,42033,968
96,Liberal Studies,,Total,Percentage,,,83.4,0.9%,3.7%,9.5%,35.7%,66.7%,89.1%,97.7%,2.3%
97,Literature in English,,Male,Number,38,33,,1,1,4,11,21,25,28,5
98,Literature in English,,Male,Percentage,,,-,3.0%,3.0%,12.1%,33.3%,63.6%,75.8%,84.8%,15.2%
99,Literature in English,,Female,Number,226,218,,4,18,48,123,180,204,211,7
100,Literature in English,,Female,Percentage,,,-,1.8%,8.3%,22.0%,56.4%,82.6%,93.6%,96.8%,3.2%
101,Literature in English,,Total,Number,264,251,,5,19,52,134,201,229,239,12
102,Literature in English,,Total,Percentage,,,-,2.0%,7.6%,20.7%,53.4%,80.1%,91.2%,95.2%,4.8%
103,Mathematics,Compulsory Part,Male,Number,23836,22787,,565,1940,4131,9329,13346,18489,20962,1825
104,Mathematics,Compulsory Part,Male,Percentage,,,43,2.5%,8.5%,18.1%,40.9%,58.6%,81.1%,92.0%,8.0%
105,Mathematics,Compulsory Part,Female,Number,22449,21646,,143,837,2475,7987,12431,17741,20218,1428
106,Mathematics,Compulsory Part,Female,Percentage,,,35.4,0.7%,3.9%,11.4%,36.9%,57.4%,82.0%,93.4%,6.6%
107,Mathematics,Compulsory Part,Total,Number,46285,44433,,708,2777,6606,17316,25777,36230,41180,3253
108,Mathematics,Compulsory Part,Total,Percentage,,,39.3,1.6%,6.2%,14.9%,39.0%,58.0%,81.5%,92.7%,7.3%
109,Mathematics,Extended Part (Calculus and Statistics),Male,Number,1433,1281,,63,199,419,692,902,1102,1215,66
110,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,25.1,4.9%,15.5%,32.7%,54.0%,70.4%,86.0%,94.8%,5.2%
111,Mathematics,Extended Part (Calculus and Statistics),Female,Number,1043,951,,17,91,262,507,696,849,908,43
112,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,18.1,1.8%,9.6%,27.5%,53.3%,73.2%,89.3%,95.5%,4.5%
113,Mathematics,Extended Part (Calculus and Statistics),Total,Number,2476,2232,,80,290,681,1199,1598,1951,2123,109
114,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,22.1,3.6%,13.0%,30.5%,53.7%,71.6%,87.4%,95.1%,4.9%
115,Mathematics,Extended Part (Algebra and Calculus),Male,Number,3614,3290,,170,572,1247,1987,2639,3046,3224,66
116,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,14.4,5.2%,17.4%,37.9%,60.4%,80.2%,92.6%,98.0%,2.0%
