No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Science,Animal Care,Male,Number,19,19,3,7,15,4
2,Applied Science,Animal Care,Male,Percentage,,,15.8%,36.8%,78.9%,21.1%
3,Applied Science,Animal Care,Female,Number,38,35,7,20,32,3
4,Applied Science,Animal Care,Female,Percentage,,,20.0%,57.1%,91.4%,8.6%
5,Applied Science,Animal Care,Total,Number,57,54,10,27,47,7
6,Applied Science,Animal Care,Total,Percentage,,,18.5%,50.0%,87.0%,13.0%
7,Applied Science,Applied Psychology,Male,Number,64,55,3,22,49,6
8,Applied Science,Applied Psychology,Male,Percentage,,,5.5%,40.0%,89.1%,10.9%
9,Applied Science,Applied Psychology,Female,Number,68,63,13,30,63,0
10,Applied Science,Applied Psychology,Female,Percentage,,,20.6%,47.6%,100.0%,0.0%
11,Applied Science,Applied Psychology,Total,Number,132,118,16,52,112,6
12,Applied Science,Applied Psychology,Total,Percentage,,,13.6%,44.1%,94.9%,5.1%
13,Applied Science,Exercise and Fitness Coaching,Male,Number,91,80,5,15,65,15
14,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,6.3%,18.8%,81.3%,18.8%
15,Applied Science,Exercise and Fitness Coaching,Female,Number,16,15,2,3,15,0
16,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,13.3%,20.0%,100.0%,0.0%
17,Applied Science,Exercise and Fitness Coaching,Total,Number,107,95,7,18,80,15
18,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,7.4%,18.9%,84.2%,15.8%
19,Applied Science,Exercise Science and Health Fitness,Male,Number,53,46,3,11,43,3
20,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,6.5%,23.9%,93.5%,6.5%
21,Applied Science,Exercise Science and Health Fitness,Female,Number,12,11,0,7,10,1
22,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,0.0%,63.6%,90.9%,9.1%
23,Applied Science,Exercise Science and Health Fitness,Total,Number,65,57,3,18,53,4
24,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,5.3%,31.6%,93.0%,7.0%
25,Applied Science,Foundation in Chinese Medicine,Male,Number,32,30,4,10,25,5
26,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,13.3%,33.3%,83.3%,16.7%
27,Applied Science,Foundation in Chinese Medicine,Female,Number,44,43,5,17,39,4
28,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,11.6%,39.5%,90.7%,9.3%
29,Applied Science,Foundation in Chinese Medicine,Total,Number,76,73,9,27,64,9
30,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,12.3%,37.0%,87.7%,12.3%
31,Applied Science,Health Care Practice,Male,Number,36,36,7,12,36,0
32,Applied Science,Health Care Practice,Male,Percentage,,,19.4%,33.3%,100.0%,0.0%
33,Applied Science,Health Care Practice,Female,Number,90,86,11,31,83,3
34,Applied Science,Health Care Practice,Female,Percentage,,,12.8%,36.0%,96.5%,3.5%
35,Applied Science,Health Care Practice,Total,Number,126,122,18,43,119,3
36,Applied Science,Health Care Practice,Total,Percentage,,,14.8%,35.2%,97.5%,2.5%
37,Applied Science,Medical Laboratory Science,Male,Number,17,11,3,6,7,4
38,Applied Science,Medical Laboratory Science,Male,Percentage,,,27.3%,54.5%,63.6%,36.4%
39,Applied Science,Medical Laboratory Science,Female,Number,36,34,11,24,29,5
40,Applied Science,Medical Laboratory Science,Female,Percentage,,,32.4%,70.6%,85.3%,14.7%
41,Applied Science,Medical Laboratory Science,Total,Number,53,45,14,30,36,9
42,Applied Science,Medical Laboratory Science,Total,Percentage,,,31.1%,66.7%,80.0%,20.0%
43,Applied Science,Practical Psychology,Male,Number,41,34,3,10,33,1
44,Applied Science,Practical Psychology,Male,Percentage,,,8.8%,29.4%,97.1%,2.9%
45,Applied Science,Practical Psychology,Female,Number,73,66,15,37,64,2
46,Applied Science,Practical Psychology,Female,Percentage,,,22.7%,56.1%,97.0%,3.0%
47,Applied Science,Practical Psychology,Total,Number,114,100,18,47,97,3
48,Applied Science,Practical Psychology,Total,Percentage,,,18.0%,47.0%,97.0%,3.0%
49,"Business, Management and Law",Accounting for e-Business,Male,Number,17,13,1,3,11,2
50,"Business, Management and Law",Accounting for e-Business,Male,Percentage,,,7.7%,23.1%,84.6%,15.4%
51,"Business, Management and Law",Accounting for e-Business,Female,Number,8,7,1,6,7,0
52,"Business, Management and Law",Accounting for e-Business,Female,Percentage,,,14.3%,85.7%,100.0%,0.0%
53,"Business, Management and Law",Accounting for e-Business,Total,Number,25,20,2,9,18,2
54,"Business, Management and Law",Accounting for e-Business,Total,Percentage,,,10.0%,45.0%,90.0%,10.0%
55,"Business, Management and Law",Data Application for Business,Male,Number,6,6,1,3,5,1
56,"Business, Management and Law",Data Application for Business,Male,Percentage,,,16.7%,50.0%,83.3%,16.7%
57,"Business, Management and Law",Data Application for Business,Female,Number,2,2,1,2,2,0
58,"Business, Management and Law",Data Application for Business,Female,Percentage,,,50.0%,100.0%,100.0%,0.0%
59,"Business, Management and Law",Data Application for Business,Total,Number,8,8,2,5,7,1
60,"Business, Management and Law",Data Application for Business,Total,Percentage,,,25.0%,62.5%,87.5%,12.5%
61,"Business, Management and Law",Entrepreneurship for SME,Male,Number,16,11,1,2,9,2
62,"Business, Management and Law",Entrepreneurship for SME,Male,Percentage,,,9.1%,18.2%,81.8%,18.2%
63,"Business, Management and Law",Entrepreneurship for SME,Female,Number,8,8,2,5,8,0
64,"Business, Management and Law",Entrepreneurship for SME,Female,Percentage,,,25.0%,62.5%,100.0%,0.0%
65,"Business, Management and Law",Entrepreneurship for SME,Total,Number,24,19,3,7,17,2
66,"Business, Management and Law",Entrepreneurship for SME,Total,Percentage,,,15.8%,36.8%,89.5%,10.5%
67,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,10,8,1,3,8,0
68,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,12.5%,37.5%,100.0%,0.0%
69,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,13,13,2,3,10,3
70,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,15.4%,23.1%,76.9%,23.1%
71,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,23,21,3,6,18,3
72,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,14.3%,28.6%,85.7%,14.3%
73,"Business, Management and Law",Marketing and Online Promotion,Male,Number,26,22,2,10,20,2
74,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,9.1%,45.5%,90.9%,9.1%
75,"Business, Management and Law",Marketing and Online Promotion,Female,Number,15,14,4,6,13,1
76,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,28.6%,42.9%,92.9%,7.1%
77,"Business, Management and Law",Marketing and Online Promotion,Total,Number,41,36,6,16,33,3
78,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,16.7%,44.4%,91.7%,8.3%
