No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,39,36,6,32,4
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,16.7%,88.9%,11.1%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,39,37,13,36,1
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,35.1%,97.3%,2.7%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,78,73,19,68,5
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,26.0%,93.2%,6.8%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,12,12,2,12,0
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,16.7%,100.0%,0.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,15,13,3,13,0
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,23.1%,100.0%,0.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,27,25,5,25,0
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,20.0%,100.0%,0.0%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,12,7,1,6,1
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,14.3%,85.7%,14.3%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,11,11,3,10,1
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,27.3%,90.9%,9.1%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,23,18,4,16,2
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,22.2%,88.9%,11.1%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,63,55,9,50,5
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,16.4%,90.9%,9.1%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,65,61,19,59,2
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,31.1%,96.7%,3.3%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,128,116,28,109,7
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,24.1%,94.0%,6.0%
